,study ID,vaccine,dose,VE,LCL,UCL,days_since_first_dose,population_category,outcome_category,variant_sequenced,time_sup,time_inf
697,98,Moderna,1,54.0,38,66.0,98,50-69 years,infection,,98,98
698,98,Moderna,1,85.0,76,91.0,21,50-69 years,severe,,21,21
699,98,Pfizer,1,74.0,60,83.0,17,50-69 years,severe,,20,14
700,98,Pfizer,1,65.0,47,77.0,98,50-69 years,severe,,98,98
701,98,AZD1222 (AstraZeneca),1,60.0,54,65.0,21,50-69 years,infection,,21,21
702,98,AZD1222 (AstraZeneca),1,25.0,10,37.0,17,50-69 years,infection,,20,14
703,98,AZD1222 (AstraZeneca),1,62.0,36,77.0,98,50-69 years,infection,,98,98
704,98,AZD1222 (AstraZeneca),1,93.0,85,97.0,21,50-69 years,severe,,21,21
705,98,AZD1222 (AstraZeneca),1,67.0,30,84.0,17,50-69 years,severe,,20,14
706,98,AZD1222 (AstraZeneca),1,74.0,-4,94.0,84,50-69 years,severe,,84,84
707,98,Pfizer,1,77.0,73,80.0,21,50-69 years,infection,alpha,21,21
708,98,Pfizer,1,85.0,72,92.0,21,50-69 years,severe,alpha,21,21
709,98,Moderna,1,84.0,77,89.0,21,50-69 years,infection,alpha,21,21
710,98,Moderna,1,78.0,44,91.0,21,50-69 years,severe,alpha,21,21
711,98,AZD1222 (AstraZeneca),1,69.0,61,75.0,21,50-69 years,infection,alpha,21,21
712,98,Pfizer,1,77.0,72,81.0,21,50-69 years,infection,gamma,21,21
713,98,Pfizer,1,89.0,79,94.0,21,50-69 years,severe,gamma,21,21
714,98,Moderna,1,85.0,76,90.0,21,50-69 years,infection,gamma,21,21
715,98,Moderna,1,96.0,71,99.0,21,50-69 years,severe,gamma,21,21
716,98,AZD1222 (AstraZeneca),1,67.0,58,74.0,21,50-69 years,infection,gamma,21,21
717,98,AZD1222 (AstraZeneca),1,93.0,78,98.0,21,50-69 years,severe,gamma,21,21
718,98,Pfizer,1,58.0,52,63.0,21,50-69 years,infection,delta,21,21
719,98,Pfizer,1,73.0,60,82.0,21,50-69 years,severe,delta,21,21
720,98,Moderna,1,70.0,64,76.0,21,50-69 years,infection,delta,21,21
721,98,Moderna,1,86.0,72,93.0,21,50-69 years,severe,delta,21,21
722,98,AZD1222 (AstraZeneca),1,41.0,15,59.0,21,50-69 years,infection,delta,21,21
723,98,AZD1222 (AstraZeneca),1,61.0,-8,86.0,21,50-69 years,severe,delta,21,21
724,98,Pfizer,1,88.0,75,95.0,21,50-69 years,infection,non-VOC,21,21
725,98,Moderna,1,78.0,31,93.0,21,50-69 years,infection,non-VOC,21,21
726,98,AZD1222 (AstraZeneca),1,93.0,70,98.0,21,50-69 years,infection,non-VOC,21,21
727,99,Pfizer,final,88.9,84.7,92.0,14,HCW,symptomatic,,14,14
728,99,Pfizer,final,96.3,92.5,98.2,21,HCW,symptomatic,,28,15
729,99,Pfizer,final,80.7,61,90.4,91,HCW,symptomatic,,98,85
730,99,Pfizer,1,39.1,-45,74.4,21,immunocompromised HCW,symptomatic,,21,21
731,99,Pfizer,1,77.1,32.2,92.2,21,pregnant HCW,symptomatic,,21,21
732,99,Pfizer,1,77.6,70.9,82.7,21,HCW,symptomatic,,21,21
733,99,Pfizer,final,88.8,84.6,91.8,7,HCW,symptomatic,,7,7
734,99,Moderna,1,88.9,78.7,94.2,21,HCW,symptomatic,,21,21
735,99,Moderna,final,96.3,91.3,98.4,7,HCW,symptomatic,,7,7
736,100,Pfizer,final,56.0,15,77.0,7,LTCF residents and staff,infection,,7,7
737,101,Pfizer,final,91.5,88.2,93.9,18,12-15 years,infection,,28,8
738,102,Pfizer,1,15.0,12,18.0,27,contacts of index cases,infection,alpha,27,27
739,102,Pfizer,final,85.0,79,89.0,14,contacts of index cases,infection,alpha,14,14
740,102,AZD1222 (AstraZeneca),1,6.0,2,9.0,67,contacts of index cases,infection,alpha,132,2
741,102,AZD1222 (AstraZeneca),final,60.0,41,73.0,14,contacts of index cases,infection,alpha,14,14
742,102,Pfizer,1,33.0,31,35.0,14,contacts of index cases,infection,delta,14,14
743,102,Pfizer,final,81.0,77,84.0,14,contacts of index cases,infection,delta,14,14
744,102,AZD1222 (AstraZeneca),1,31.0,28,34.0,67,contacts of index cases,infection,delta,132,2
745,102,AZD1222 (AstraZeneca),final,58.0,55,62.0,14,contacts of index cases,infection,delta,14,14
746,103,Pfizer,1,57.0,52,61.0,14,contacts of index cases,infection,,14,14
747,103,Pfizer,final,69.0,66,72.0,14,contacts of index cases,infection,,14,14
748,103,Pfizer,1,57.0,51,61.0,90,contacts of index cases,infection,,90,90
749,103,Pfizer,final,70.0,67,73.0,90,contacts of index cases,infection,,90,90
750,103,Pfizer,final,63.0,58,68.0,90,contacts of index cases,infection,,90,90
751,103,Pfizer,1,66.0,60,71.0,14,contacts of index cases,symptomatic,,14,14
752,103,Pfizer,final,72.0,69,75.0,14,contacts of index cases,symptomatic,,14,14
753,103,Pfizer,1,86.0,69,94.0,14,contacts of index cases,severe,,14,14
754,103,Pfizer,final,93.0,88,96.0,14,contacts of index cases,severe,,14,14
755,103,Moderna,1,66.0,56,73.0,14,contacts of index cases,infection,,14,14
756,103,Moderna,final,82.0,78,86.0,14,contacts of index cases,infection,,14,14
757,103,Moderna,1,65.0,56,73.0,90,contacts of index cases,infection,,90,90
758,103,Moderna,final,67.0,50,78.0,90,contacts of index cases,infection,,90,90
759,103,Moderna,1,71.0,61,79.0,14,contacts of index cases,symptomatic,,14,14
760,103,Moderna,final,85.0,80,89.0,14,contacts of index cases,symptomatic,,14,14
761,103,Moderna,1,73.0,-10,93.0,14,contacts of index cases,severe,,14,14
762,103,Moderna,final,98.0,82,100.0,14,contacts of index cases,severe,,14,14
763,103,AZD1222 (AstraZeneca),1,41.0,34,48.0,14,contacts of index cases,infection,,14,14
764,103,AZD1222 (AstraZeneca),final,54.0,48,60.0,14,contacts of index cases,infection,,14,14
765,103,AZD1222 (AstraZeneca),1,40.0,31,47.0,90,contacts of index cases,infection,,90,90
766,103,AZD1222 (AstraZeneca),final,54.0,47,60.0,90,contacts of index cases,infection,,90,90
767,103,AZD1222 (AstraZeneca),1,52.0,37,64.0,90,contacts of index cases,infection,,90,90
768,103,AZD1222 (AstraZeneca),1,46.0,37,54.0,14,contacts of index cases,symptomatic,,14,14
769,103,AZD1222 (AstraZeneca),final,56.0,48,63.0,14,contacts of index cases,symptomatic,,14,14
770,103,AZD1222 (AstraZeneca),1,78.0,54,89.0,14,contacts of index cases,severe,,14,14
771,103,AZD1222 (AstraZeneca),final,95.0,79,99.0,14,contacts of index cases,severe,,14,14
772,103,Janssen,final,50.0,42,57.0,14,contacts of index cases,infection,,14,14
773,103,Janssen,final,52.0,44,59.0,90,contacts of index cases,infection,,90,90
774,103,Janssen,final,28.0,-8,53.0,90,contacts of index cases,infection,,90,90
775,103,Janssen,final,54.0,45,62.0,14,contacts of index cases,symptomatic,,14,14
776,103,Janssen,final,74.0,43,88.0,14,contacts of index cases,severe,,14,14
777,103,Pfizer,final,86.0,70,93.0,14,contacts of index cases,infection,,14,14
778,103,Pfizer,final,85.0,69,93.0,90,contacts of index cases,infection,,90,90
779,103,Pfizer,final,91.0,71,97.0,14,contacts of index cases,symptomatic,,14,14
780,103,Pfizer,final,95.0,79,99.0,14,contacts of index cases,severe,,14,14
781,103,Pfizer,1,54.0,37,67.0,14,contacts of index cases,infection,alpha,14,14
782,103,Pfizer,final,71.0,61,78.0,14,contacts of index cases,infection,alpha,14,14
783,103,Moderna,1,60.0,14,81.0,14,contacts of index cases,infection,alpha,14,14
784,103,Moderna,final,86.0,56,95.0,14,contacts of index cases,infection,alpha,14,14
785,103,AZD1222 (AstraZeneca),1,37.0,21,50.0,14,contacts of index cases,infection,alpha,14,14
786,103,AZD1222 (AstraZeneca),final,38.0,-42,73.0,14,contacts of index cases,infection,alpha,14,14
787,103,Janssen,final,77.0,27,92.0,14,contacts of index cases,infection,alpha,14,14
788,103,Pfizer,1,63.0,51,73.0,14,contacts of index cases,infection,delta,14,14
789,103,Pfizer,final,67.0,59,74.0,14,contacts of index cases,infection,delta,14,14
790,103,Moderna,1,72.0,51,84.0,14,contacts of index cases,infection,delta,14,14
791,103,Moderna,final,77.0,64,85.0,14,contacts of index cases,infection,delta,14,14
792,103,AZD1222 (AstraZeneca),1,53.0,26,70.0,14,contacts of index cases,infection,delta,14,14
793,103,AZD1222 (AstraZeneca),final,55.0,39,67.0,14,contacts of index cases,infection,delta,14,14
794,103,Janssen,final,42.0,18,53.0,14,contacts of index cases,infection,delta,14,14
795,103,Pfizer,final,86.0,45,97.0,14,contacts of index cases,infection,delta,14,14
796,104,Moderna,1,77.0,60.7,86.5,14,general pop,infection,delta,14,14
797,104,Moderna,final,86.7,84.3,88.7,14,general pop,infection,delta,14,14
798,104,Moderna,final,94.1,90.5,96.3,37,general pop,infection,delta,60,14
799,104,Moderna,final,80.0,70.2,86.6,165,general pop,infection,delta,180,151
800,104,Moderna,final,97.5,92.7,99.2,14,general pop,severe,delta,14,14
801,104,Moderna,final,98.6,97.3,99.3,37,general pop,infection,non-delta,60,14
802,104,Moderna,final,88.7,73.2,95.2,135,general pop,infection,non-delta,150,121
803,104,Moderna,1,90.1,82.9,94.2,14,general pop,infection,alpha,14,14
804,104,Moderna,final,98.4,96.9,99.1,14,general pop,infection,alpha,14,14
805,104,Moderna,1,74.2,43.8,88.1,14,general pop,infection,gamma,14,14
806,104,Moderna,final,95.5,90.9,97.8,14,general pop,infection,gamma,14,14
807,105,Pfizer,final,59.0,52,65.0,14,general pop,infection,,14,14
808,105,Pfizer,final,57.0,45,66.0,14,immunocompromised adults,infection,,14,14
809,106,Janssen,final,50.9,35.5,63.0,28,general pop,symptomatic,,28,28
810,106,Janssen,final,72.9,35.1,91.1,28,general pop,severe,,28,28
811,106,Janssen,final,92.5,54.9,99.6,28,general pop,severe,,28,28
812,106,Janssen,final,90.5,31.5,99.6,28,general pop,death,,28,28
813,107,Pfizer,final,90.3,87.1,92.7,14,≥ 60 years,severe,,14,14
814,107,Pfizer,final,98.5,97.8,98.9,14,≥ 60 years,death,,14,14
815,107,Pfizer,final,89.2,85.6,91.9,14,≥ 60 years,death,,14,14
816,107,CoronaVac (Sinovac),final,67.2,63.7,70.4,14,≥ 60 years,severe,,14,14
817,107,CoronaVac (Sinovac),final,77.1,75.5,78.6,14,≥ 60 years,death,,14,14
818,107,CoronaVac (Sinovac),final,69.8,66.7,72.6,14,≥ 60 years,death,,14,14
819,107,AZD1222 (AstraZeneca),final,75.4,48.2,88.3,14,≥ 60 years,severe,,14,14
820,107,AZD1222 (AstraZeneca),final,96.3,88.4,98.8,14,≥ 60 years,death,,14,14
821,107,AZD1222 (AstraZeneca),final,88.7,64.8,96.4,14,≥ 60 years,death,,14,14
822,107,Janssen,final,80.0,19.9,95.0,14,≥ 60 years,severe,,14,14
823,107,Janssen,final,75.0,0,93.8,14,≥ 60 years,death,,14,14
824,108,Pfizer,final,91.0,74,97.0,14,12-15 years,severe,,14,14
825,108,Pfizer,final,94.0,78,99.0,14,16-18 years,severe,,14,14
826,109,Pfizer,final,92.0,90.8,93.0,14,45-74 years,severe,,14,14
827,109,Pfizer,final,93.3,91.3,95.0,14,75-84 years,severe,,14,14
828,109,Pfizer,final,97.1,95.8,98.0,14,≥ 85 years,severe,,14,14
829,109,Pfizer,final,86.0,81,89.0,14,45-74 years,death,,14,14
830,109,Pfizer,final,87.0,80,92.0,14,75-84 years,death,,14,14
831,109,Pfizer,final,95.2,91.5,97.0,14,≥ 85 years,death,,14,14
832,109,Moderna,final,82.0,78,85.0,14,45-74 years,severe,,14,14
833,109,Moderna,final,91.5,89,94.0,14,75-84 years,severe,,14,14
834,109,Moderna,final,97.2,96,98.0,14,≥ 85 years,severe,,14,14
835,109,Moderna,final,69.0,52,79.0,14,45-74 years,death,,14,14
836,109,Moderna,final,87.0,79,92.0,14,75-84 years,death,,14,14
837,109,Moderna,final,96.2,93.9,98.0,14,≥ 85 years,death,,14,14
838,109,Janssen,final,96.1,95,97.0,14,45-74 years,severe,,14,14
839,109,Janssen,final,98.0,96.7,99.0,14,75-84 years,severe,,14,14
840,109,Janssen,final,99.2,98.6,99.5,14,≥ 85 years,severe,,14,14
841,109,Janssen,final,93.8,90,96.0,14,45-74 years,death,,14,14
842,109,Janssen,final,96.6,91.7,98.0,14,75-84 years,death,,14,14
843,109,Janssen,final,99.3,98.6,99.6,14,≥ 85 years,death,,14,14
844,109,Pfizer,final,87.0,85,89.0,14,general pop,infection,,14,14
845,109,Pfizer,final,57.0,53,60.0,144,general pop,infection,,144,144
846,109,Pfizer,final,92.0,85,95.0,14,general pop,severe,,14,14
847,109,Pfizer,final,80.0,73,85.0,144,general pop,severe,,144,144
848,109,Pfizer,final,97.0,86,100.0,14,general pop,death,,14,14
849,109,Pfizer,final,86.0,75,92.0,144,general pop,death,,144,144
850,109,Moderna,final,90.0,88,91.0,14,general pop,infection,,14,14
851,109,Moderna,final,73.0,70,76.0,144,general pop,infection,,144,144
852,109,Moderna,final,95.0,89,97.0,14,general pop,severe,,14,14
853,109,Moderna,final,90.0,84,94.0,144,general pop,severe,,144,144
854,109,Moderna,final,99.0,89,100.0,14,general pop,death,,14,14
855,109,Moderna,final,93.0,81,97.0,144,general pop,death,,144,144
856,109,Janssen,final,62.0,54,68.0,14,general pop,infection,,14,14
857,109,Janssen,final,36.0,30,42.0,144,general pop,infection,,144,144
858,109,Janssen,final,81.0,60,91.0,14,general pop,severe,,14,14
859,109,Janssen,final,67.0,53,76.0,144,general pop,severe,,144,144
860,109,Janssen,final,78.0,16,94.0,14,general pop,death,,14,14
861,109,Janssen,final,72.0,49,95.0,144,general pop,death,,144,144
862,109,Pfizer,final,56.0,53,59.0,137,general pop,infection,,137,137
863,109,Moderna,final,71.0,68,74.0,139,general pop,infection,,139,139
864,109,Janssen,final,27.0,17,37.0,158,general pop,infection,,158,158
865,110,Moderna,final,56.6,42,67.5,14,incarcerated men,infection,,14,14
866,110,Moderna,final,84.2,56.4,94.3,14,incarcerated men,symptomatic,,14,14
867,110,Moderna,final,80.5,52.8,92.0,14,incarcerated men,infection,,14,14
868,110,Moderna,final,49.5,31.5,62.7,14,incarcerated men,infection,,14,14
869,111,AZD1222 (AstraZeneca),1,31.0,12.7,45.5,21,general pop,infection,,21,21
870,111,AZD1222 (AstraZeneca),final,59.0,33.1,74.8,14,general pop,infection,,14,14
871,111,AZD1222 (AstraZeneca),1,31.6,12,46.8,21,general pop,symptomatic,,21,21
872,111,AZD1222 (AstraZeneca),final,65.1,40.9,79.4,14,general pop,symptomatic,,14,14
873,111,AZD1222 (AstraZeneca),1,26.6,-53.8,65.0,21,general pop,asymptomatic,,21,21
874,112,Pfizer,final,92.0,92,93.0,22,general pop,symptomatic,,30,15
875,112,Pfizer,final,23.0,-2,41.0,210,general pop,symptomatic,,210,210
876,112,Moderna,final,96.0,94,97.0,22,general pop,symptomatic,,30,15
877,112,Moderna,final,59.0,18,79.0,210,general pop,symptomatic,,210,210
878,112,AZD1222 (AstraZeneca),final,68.0,52,79.0,22,general pop,symptomatic,,30,15
879,112,AZD1222 (AstraZeneca),final,-19.0,-97,28.0,210,general pop,symptomatic,,210,210
880,112,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,89.0,79,94.0,22,general pop,symptomatic,,30,15
881,112,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,66.0,41,80.0,210,general pop,symptomatic,,210,210
882,113,Pfizer,final,94.5,94.1,94.9,390,general pop,symptomatic,,750,30
883,113,Pfizer,final,67.8,65.9,69.7,480,general pop,symptomatic,,750,210
884,113,Pfizer,final,96.4,95.1,97.4,390,general pop,severe,,750,30
885,113,Pfizer,final,92.4,89.7,94.4,480,general pop,severe,,750,210
886,113,Pfizer,final,98.0,95.5,99.1,390,general pop,death,,750,30
887,113,Pfizer,final,95.5,92.2,97.4,480,general pop,death,,750,210
888,113,Moderna,final,95.9,95.5,96.2,30,general pop,symptomatic,,30,30
889,113,Moderna,final,77.8,75.9,79.6,210,general pop,symptomatic,,210,210
890,113,Moderna,final,97.2,96.1,98.0,30,general pop,severe,,30,30
891,113,Moderna,final,94.9,92.4,96.6,210,general pop,severe,,210,210
892,113,Moderna,final,98.6,97.3,99.3,30,general pop,death,,30,30
893,113,Moderna,final,96.0,92.8,97.8,210,general pop,death,,210,210
894,113,Janssen,final,71.4,68.3,74.2,60,general pop,symptomatic,,60,60
895,113,Janssen,final,64.0,60.3,67.4,180,general pop,symptomatic,,180,180
896,113,Janssen,final,85.8,74.9,91.9,60,general pop,severe,,60,60
897,113,Janssen,final,81.7,68.6,89.3,180,general pop,severe,,180,180
898,113,Janssen,final,82.2,46.3,94.1,60,general pop,death,,60,60
899,113,Janssen,final,71.2,40.8,86.0,180,general pop,death,,180,180
900,114,Pfizer,final,89.0,89,89.0,14,general pop,infection,,14,14
901,114,Pfizer,final,93.0,92,94.0,20,general pop,infection,,27,14
902,114,Pfizer,final,80.0,75,83.0,265,general pop,infection,,279,252
903,114,Pfizer,final,97.0,97,98.0,14,general pop,severe,,14,14
904,114,Pfizer,final,98.0,96,99.0,20,general pop,severe,,27,14
905,114,Pfizer,final,96.0,86,99.0,265,general pop,severe,,279,252
906,114,Moderna,final,90.0,89,90.0,14,general pop,infection,,14,14
907,114,Moderna,final,95.0,94,96.0,20,general pop,infection,,27,14
908,114,Moderna,final,55.0,40,66.0,265,general pop,infection,,279,252
909,114,Moderna,final,97.0,97,98.0,14,general pop,severe,,14,14
910,114,Moderna,final,99.0,95,100.0,20,general pop,severe,,27,14
911,114,Moderna,final,95.0,65,99.0,265,general pop,severe,,279,252
912,114,AZD1222 (AstraZeneca),final,74.0,72,76.0,14,general pop,infection,,14,14
913,114,AZD1222 (AstraZeneca),final,77.0,57,87.0,20,general pop,infection,,27,14
914,114,AZD1222 (AstraZeneca),final,67.0,48,80.0,181,general pop,infection,,195,168
915,114,AZD1222 (AstraZeneca),final,95.0,94,97.0,14,general pop,severe,,14,14
916,114,AZD1222 (AstraZeneca),final,97.0,71,97.0,41,general pop,severe,,55,28
917,114,AZD1222 (AstraZeneca),final,91.0,35,99.0,181,general pop,severe,,195,168
918,114,Any mRNA - heterologous,final,90.0,89,90.0,14,general pop,infection,,14,14
919,114,Any mRNA - heterologous,final,95.0,91,97.0,20,general pop,infection,,27,14
920,114,Any mRNA - heterologous,final,96.0,73,99.0,181,general pop,infection,,195,168
921,114,Any mRNA - heterologous,final,98.0,97,98.0,14,general pop,severe,,14,14
922,114,Any mRNA - heterologous,final,96.0,75,100.0,20,general pop,severe,,27,14
923,114,Any mRNA - heterologous,final,96.0,92,98.0,153,general pop,severe,,167,140
924,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,89.0,88,89.0,14,general pop,infection,,14,14
925,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,94.0,89,97.0,20,general pop,infection,,27,14
926,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,82.0,78,85.0,153,general pop,infection,,167,140
927,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,99.0,99,100.0,14,general pop,severe,,14,14
928,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,93.0,48,99.0,20,general pop,severe,,27,14
929,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,98.0,91,99.0,153,general pop,severe,,167,140
930,114,Pfizer,final,89.0,89,89.0,14,general pop,infection,delta,14,14
931,114,Pfizer,final,93.0,93,94.0,20,general pop,infection,delta,27,14
932,114,Pfizer,final,79.0,75,83.0,265,general pop,infection,delta,279,252
933,114,Pfizer,final,98.0,97,98.0,14,general pop,severe,delta,14,14
934,114,Pfizer,final,98.0,95,99.0,20,general pop,severe,delta,27,14
935,114,Pfizer,final,94.0,87,97.0,209,general pop,severe,delta,223,196
936,114,Moderna,final,90.0,89,90.0,14,general pop,infection,delta,14,14
937,114,Moderna,final,95.0,94,96.0,20,general pop,infection,delta,27,14
938,114,Moderna,final,55.0,41,66.0,209,general pop,infection,delta,223,196
939,114,Moderna,final,97.0,97,98.0,14,general pop,severe,delta,14,14
940,114,Moderna,final,98.0,94,100.0,20,general pop,severe,delta,27,14
941,114,Moderna,final,95.0,80,99.0,209,general pop,severe,delta,223,196
942,114,AZD1222 (AstraZeneca),final,73.0,72,75.0,14,general pop,infection,delta,14,14
943,114,AZD1222 (AstraZeneca),final,70.0,39,86.0,20,general pop,infection,delta,27,14
944,114,AZD1222 (AstraZeneca),final,67.0,48,80.0,181,general pop,infection,delta,195,168
945,114,AZD1222 (AstraZeneca),final,95.0,93,97.0,14,general pop,severe,delta,14,14
946,114,AZD1222 (AstraZeneca),final,89.0,67,97.0,41,general pop,severe,delta,55,28
947,114,AZD1222 (AstraZeneca),final,91.0,34,99.0,181,general pop,severe,delta,195,168
948,114,Any mRNA - heterologous,final,90.0,89,90.0,14,general pop,infection,delta,14,14
949,114,Any mRNA - heterologous,final,94.0,90,97.0,20,general pop,infection,delta,27,14
950,114,Any mRNA - heterologous,final,96.0,73,99.0,181,general pop,infection,delta,195,168
951,114,Any mRNA - heterologous,final,98.0,97,98.0,14,general pop,severe,delta,14,14
952,114,Any mRNA - heterologous,final,97.0,93,99.0,41,general pop,severe,delta,55,28
953,114,Any mRNA - heterologous,final,96.0,92,98.0,153,general pop,severe,delta,167,140
954,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,88.0,88,89.0,14,general pop,infection,delta,14,14
955,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,94.0,88,97.0,20,general pop,infection,delta,27,14
956,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,82.0,77,85.0,153,general pop,infection,delta,167,140
957,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,99.0,99,100.0,14,general pop,severe,delta,14,14
958,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,91.0,33,99.0,20,general pop,severe,delta,27,14
959,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,98.0,91,99.0,153,general pop,severe,delta,167,140
960,114,Pfizer,final,96.0,92,98.0,14,general pop,infection,alpha,14,14
961,114,Pfizer,final,96.0,83,99.0,14,general pop,severe,alpha,14,14
962,114,Moderna,final,95.0,84,98.0,14,general pop,infection,alpha,14,14
963,114,AZD1222 (AstraZeneca),final,75.0,33,91.0,14,general pop,infection,alpha,14,14
964,114,Any mRNA - heterologous,final,96.0,73,99.0,14,general pop,infection,alpha,14,14
965,114,Pfizer,final,92.0,88,95.0,14,general pop,infection,gamma,14,14
966,114,Pfizer,final,95.0,82,98.0,14,general pop,severe,gamma,14,14
967,114,Moderna,final,95.0,85,98.0,14,general pop,infection,gamma,14,14
968,114,AZD1222 (AstraZeneca),final,91.0,63,98.0,14,general pop,infection,gamma,14,14
969,114,Any mRNA - heterologous,final,94.0,76,99.0,14,general pop,infection,gamma,14,14
970,114,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,96.0,69,99.0,14,general pop,infection,gamma,14,14
971,115,Pfizer,final,78.0,78,79.0,14,general pop,symptomatic,,14,14
972,115,Moderna,final,87.0,84,88.0,14,general pop,symptomatic,,14,14
973,115,AZD1222 (AstraZeneca),final,50.0,41,58.0,14,general pop,symptomatic,,14,14
974,115,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,67.0,59,73.0,14,general pop,symptomatic,,14,14
975,115,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,79.0,62,88.0,14,general pop,symptomatic,,14,14
976,116,Pfizer,1,59.0,52,65.0,17,12-18 years,infection,,20,14
977,116,Pfizer,final,90.0,88,92.0,14,12-18 years,infection,,21,7
978,116,Pfizer,1,66.0,59,72.0,24,12-18 years,infection,,27,21
979,116,Pfizer,1,57.0,39,71.0,17,12-18 years,symptomatic,,20,14
980,116,Pfizer,final,93.0,88,97.0,14,12-18 years,symptomatic,,21,7
981,116,Pfizer,1,82.0,73,91.0,24,12-18 years,symptomatic,,27,21
982,117,Pfizer,1,100.0,,,14,40-59 years,death,,14,14
983,117,Pfizer,final,95.0,79,99.0,14,40-59 years,death,,14,14
984,117,Pfizer,1,75.0,26,91.0,14,60+ years,death,,14,14
985,117,Pfizer,final,87.0,77,93.0,14,60+ years,death,,14,14
986,117,AZD1222 (AstraZeneca),1,96.0,85,99.0,14,40-59 years,death,,14,14
987,117,AZD1222 (AstraZeneca),final,88.0,76,93.0,14,40-59 years,death,,14,14
988,117,AZD1222 (AstraZeneca),1,97.0,86,99.0,14,60+ years,death,,14,14
989,117,AZD1222 (AstraZeneca),final,90.0,84,94.0,14,60+ years,death,,14,14
990,117,Pfizer,1,92.0,66,98.0,14,general pop,death,delta,14,14
991,117,Pfizer,final,90.0,83,94.0,14,general pop,death,delta,14,14
992,117,AZD1222 (AstraZeneca),1,96.0,89,99.0,14,general pop,death,delta,14,14
993,117,AZD1222 (AstraZeneca),final,91.0,86,94.0,14,general pop,death,delta,14,14
994,118,Pfizer,final,71.0,65,76.0,14,immunocompromised adults,severe,,14,14
995,118,Pfizer,final,88.0,86,89.0,14,general pop,severe,,14,14
996,118,Moderna,final,81.0,76,85.0,14,immunocompromised adults,severe,,14,14
997,118,Moderna,final,93.0,92,94.0,14,general pop,severe,,14,14
998,118,Pfizer,final,76.0,69,81.0,14,immunocompromised adults,severe,,14,14
999,118,Pfizer,final,91.0,90,93.0,14,general pop,severe,,14,14
1000,118,Pfizer,final,79.0,74,83.0,14,immunocompromised adults,severe,,14,14
1001,118,Pfizer,final,90.0,89,91.0,14,general pop,severe,,14,14
1002,119,Pfizer,1,40.0,33,46.0,42,HCW aged 16-69 years,infection,,42,42
1003,119,Pfizer,final,83.0,80,85.0,52,HCW aged 16-69 years,infection,,90,14
1004,119,Pfizer,final,55.0,45,64.0,181,HCW aged 16-69 years,infection,,181,181
1005,119,Pfizer,1,82.0,68,90.0,42,HCW aged 16-69 years,severe,,42,42
1006,119,Pfizer,final,99.0,97,100.0,52,HCW aged 16-69 years,severe,,90,14
1007,119,Pfizer,final,98.0,89,100.0,181,HCW aged 16-69 years,severe,,181,181
1008,119,Moderna,1,61.0,45,72.0,42,HCW aged 16-69 years,infection,,42,42
1009,119,Moderna,final,84.0,68,92.0,52,HCW aged 16-69 years,infection,,90,14
1010,119,Moderna,final,69.0,-124,96.0,135,HCW aged 16-69 years,infection,,180,91
1011,119,Moderna,1,89.0,22,98.0,42,HCW aged 16-69 years,severe,,42,42
1012,119,Moderna,final,100.0,,,52,HCW aged 16-69 years,severe,,90,14
1013,119,Moderna,final,100.0,,,181,HCW aged 16-69 years,severe,,181,181
1014,119,Any mRNA - heterologous,final,100.0,,,52,HCW aged 16-69 years,infection,,90,14
1015,119,Any mRNA - heterologous,final,100.0,,,181,HCW aged 16-69 years,infection,,181,181
1016,119,Any mRNA - heterologous,final,100.0,,,52,HCW aged 16-69 years,severe,,90,14
1017,119,Any mRNA - heterologous,final,100.0,,,181,HCW aged 16-69 years,severe,,181,181
1018,119,AZD1222 (AstraZeneca),1,22.0,-3,42.0,42,HCW aged 16-69 years,infection,,42,42
1019,119,AZD1222 (AstraZeneca),final,89.0,73,95.0,52,HCW aged 16-69 years,infection,,90,14
1020,119,AZD1222 (AstraZeneca),final,63.0,-166,95.0,135,HCW aged 16-69 years,infection,,180,91
1021,119,AZD1222 (AstraZeneca),1,88.0,10,98.0,42,HCW aged 16-69 years,severe,,42,42
1022,119,AZD1222 (AstraZeneca),final,100.0,,,52,HCW aged 16-69 years,severe,,90,14
1023,119,AZD1222 (AstraZeneca),final,100.0,,,181,HCW aged 16-69 years,severe,,181,181
1024,119,AZD1222 (AstraZeneca) & any mRNA - heterologous,final,80.0,72,86.0,52,HCW aged 16-69 years,infection,,90,14
