Study ID,first author,study design,publication date,primary series vaccine,booster vaccine,historyofCOVID ,reference group,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,notes,,,,
77,Cerqueira-Silva ,Test-negative case-control,11Jan2023,BNT162b2 (Pfizer) + BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Moderna,included,complete vaccination with BNT162b2,7-29,symptomatic disease,symptomatic,Scotland,≥ 18 years,general pop,61.0,32.2,77.6,,omicron,2 weeks,,,,,
77,Cerqueira-Silva ,Test-negative case-control,11Jan2023,BNT162b2 (Pfizer) + BNT162b2 (Pfizer) or mRNA-1273 (Moderna) (3 doses),Moderna,included,complete vaccination with BNT162b2,30+,symptomatic disease,symptomatic,Scotland,≥ 18 years,general pop,40.4,11.3,60.0,,omicron,~7 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,8-14,symptomatic disease,symptomatic,France,≥ 18 years,general pop,64.0,63.0,64.0,omicron,omicron,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,90+,symptomatic disease,symptomatic,France,≥ 18 years,general pop,50.0,48.0,51.0,omicron,omicron,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,8-14,hospitalization,severe,France,≥ 18 years,general pop,90.0,87.0,92.0,omicron,omicron,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,90+,hospitalization,severe,France,≥ 18 years,general pop,93.0,92.0,94.0,omicron,omicron,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,8-14,ICU admission,severe,France,≥ 18 years,general pop,96.0,92.0,99.0,omicron,omicron,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,90+,ICU admission,severe,France,≥ 18 years,general pop,97.0,95.0,99.0,omicron,omicron,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,8-14,death,death,France,≥ 18 years,general pop,95.0,89.0,100.0,omicron,omicron,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,90+,death,death,France,≥ 18 years,general pop,93.0,91.0,96.0,omicron,omicron,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,8-14,symptomatic disease,symptomatic,France,≥ 18 years,general pop,84.0,79.0,88.0,delta,delta,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,90+,symptomatic disease,symptomatic,France,≥ 18 years,general pop,90.0,85.0,94.0,delta,delta,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,8-14,hospitalization,severe,France,≥ 18 years,general pop,98.0,98.0,99.0,delta,delta,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,90+,hospitalization,severe,France,≥ 18 years,general pop,99.0,99.0,100.0,delta,delta,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,8-14,ICU admission,severe,France,≥ 18 years,general pop,99.0,98.0,99.0,delta,delta,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,90+,ICU admission,severe,France,≥ 18 years,general pop,99.0,99.0,100.0,delta,delta,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,8-14,death,death,France,≥ 18 years,general pop,98.0,96.0,100.0,delta,delta,~22 weeks,,,,,
78,Castillo,Test-negative case-control,21Apr2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,included,unvaccinated individuals without prior infection,90+,death,death,France,≥ 18 years,general pop,99.0,99.0,100.0,delta,delta,~22 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,14+,infection,infection,USA,veterans,veterans,30.1,26.2,33.7,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,14+,hospitalization,severe,USA,veterans,veterans,61.4,55.0,67.1,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,14+,death,death,USA,veterans,veterans,78.8,67.9,87.5,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,14+,infection,infection,USA,veterans,veterans,47.8,45.2,50.3,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,14+,hospitalization,severe,USA,veterans,veterans,81.8,79.2,84.2,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),Pfizer,excluded,unvaccinated individuals,14+,death,death,USA,veterans,veterans,89.6,85.0,93.6,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses ≥5 months prior,14+,infection,infection,USA,veterans,veterans,37.1,32.2,41.7,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses ≥5 months prior,14+,hospitalization,severe,USA,veterans,veterans,63.5,53.7,71.6,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,mRNA-1273 (Moderna),Moderna,excluded,complete vaccination with 2 doses ≥5 months prior,14+,death,death,USA,veterans,veterans,75.0,55.4,88.0,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,mRNA-1273 (Moderna),Moderna,excluded,unvaccinated individuals,14+,infection,infection,USA,veterans,veterans,61.9,59.4,64.4,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,mRNA-1273 (Moderna),Moderna,excluded,unvaccinated individuals,14+,hospitalization,severe,USA,veterans,veterans,87.9,85.3,90.2,,omicron,~27 weeks,,,,,
79,Sharma,Matched case-control,27Apr2022,mRNA-1273 (Moderna),Moderna,excluded,unvaccinated individuals,14+,death,death,USA,veterans,veterans,91.4,86.4,95.6,,omicron,~27 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),AZD1222 (AstraZeneca),included,unvaccinated individuals,14-34,symptomatic disease,symptomatic,UK,40-64 years,40-64 years,51.7,38.9,61.8,omicron,omicron,~3 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),AZD1222 (AstraZeneca),included,unvaccinated individuals,105+,symptomatic disease,symptomatic,UK,40-64 years,40-64 years,37.2,-44.1,72.6,omicron,omicron,~20 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,14-34,symptomatic disease,symptomatic,UK,40-64 years,40-64 years,63.8,63.0,64.5,omicron,omicron,~3 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,105+,symptomatic disease,symptomatic,UK,40-64 years,40-64 years,30.6,26.8,34.3,omicron,omicron,~20 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),AZD1222 (AstraZeneca),included,unvaccinated individuals,14-34,symptomatic disease,symptomatic,UK,≥ 65 years,≥ 65 years,51.6,20.8,70.4,omicron,omicron,~3 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),AZD1222 (AstraZeneca),included,unvaccinated individuals,70-104,symptomatic disease,symptomatic,UK,≥ 65 years,≥ 65 years,-27.2,-131.6,30.1,omicron,omicron,~13 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),AZD1222 (AstraZeneca),included,unvaccinated individuals,7+,hospitalization,severe,UK,≥ 65 years,≥ 65 years,82.3,64.2,91.3,omicron,omicron,~20 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,14-34,symptomatic disease,symptomatic,UK,≥ 65 years,≥ 65 years,58.1,51.6,63.8,omicron,omicron,~3 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,105+,symptomatic disease,symptomatic,UK,≥ 65 years,≥ 65 years,23.1,15.1,30.5,omicron,omicron,~20 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,7+,hospitalization,severe,UK,≥ 65 years,≥ 65 years,90.9,88.7,92.7,omicron,omicron,~20 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),AZD1222 (AstraZeneca),included,unvaccinated individuals,7+,hospitalization,severe,UK,≥ 65 years,≥ 65 years,80.9,15.6,95.7,delta,delta,~15 weeks,,,,,
80,Kirsebom,Test-negative case-control,12Dec2022,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,7+,hospitalization,severe,UK,≥ 65 years,≥ 65 years,93.9,92.8,94.9,delta,delta,~15 weeks,,,,,
81,Suah,Test-negative case-control,02May2022,BNT162b2 (Pfizer),Pfizer,unknown,complete vaccination with 2 doses of BNT162b2 (Pfizer) 4-6 months prior,14+,infection,infection,Malaysia,≥ 18 years,general pop,52.0,50.3,51.9,,omicron,~12 weeks,,,,,
81,Suah,Test-negative case-control,02May2022,BNT162b2 (Pfizer),Pfizer,unknown,complete vaccination with 2 doses of BNT162b2 (Pfizer) 4-6 months prior,14+,infection,infection,Malaysia,≥ 18 years,general pop,89.4,89.2,89.7,,delta,~12 weeks,,,,,
82,Carazo,Test-negative case-control,14Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,7+,infection,infection,Canada,≥ 12 years,general pop,73.0,72.0,73.0,,omicron,~24 weeks,,,,,
82,Carazo,Test-negative case-control,14Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,7+,hospitalization,severe,Canada,≥ 12 years,general pop,91.0,91.0,92.0,,omicron,~24 weeks,,,,,
82,Carazo,Test-negative case-control,14Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,previously infected only,unvaccinated individuals,7+,infection,infection,Canada,≥ 12 years,general pop,68.0,67.0,68.0,,omicron,~24 weeks,,,,,
82,Carazo,Test-negative case-control,14Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,previously infected only,unvaccinated individuals,7+,hospitalization,severe,Canada,≥ 12 years,general pop,84.0,82.0,91.0,,omicron,~24 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",7+,infection,infection,USA,veterans 21+,general pop,11.0,7.0,14.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",<28,infection,infection,USA,veterans 21+,general pop,30.0,23.0,36.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",84+,infection,infection,USA,veterans 21+,general pop,-9.0,-22.0,2.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",7+,hospitalization,severe,USA,veterans 21+,general pop,50.0,41.0,57.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",<28,hospitalization,severe,USA,veterans 21+,general pop,62.0,43.0,75.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",84+,hospitalization,severe,USA,veterans 21+,general pop,45.0,18.0,63.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",7+,ICU admission or death,severe,USA,veterans 21+,general pop,88.0,68.0,96.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",28-56,ICU admission or death,severe,USA,veterans 21+,general pop,90.0,22.0,99.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",84+,ICU admission or death,severe,USA,veterans 21+,general pop,79.0,-78.0,98.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",7+,infection,infection,USA,veterans 21+,general pop,27.0,24.0,30.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",<28,infection,infection,USA,veterans 21+,general pop,40.0,35.0,44.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",84+,infection,infection,USA,veterans 21+,general pop,-23.0,-65.0,9.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",7+,hospitalization,severe,USA,veterans 21+,general pop,55.0,46.0,61.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",<28,hospitalization,severe,USA,veterans 21+,general pop,55.0,38.0,67.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",84+,hospitalization,severe,USA,veterans 21+,general pop,83.0,24.0,96.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",7+,ICU admission or death,severe,USA,veterans 21+,general pop,72.0,24.0,90.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",<28,ICU admission or death,severe,USA,veterans 21+,general pop,86.0,-17.0,98.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",28-56,ICU admission or death,severe,USA,veterans 21+,general pop,50.0,-68.0,85.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 or mRNA-1273 by April 30, 2021",7+,infection,infection,USA,veterans 21+,general pop,19.0,17.0,22.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 or mRNA-1273 by April 30, 2021",7+,hospitalization,severe,USA,veterans 21+,general pop,52.0,46.0,57.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 or mRNA-1273 by April 30, 2021",7+,ICU admission or death,severe,USA,veterans 21+,general pop,83.0,65.0,92.0,,omicron,~19.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",,infection,infection,USA,veterans 21+,general pop,73.0,70.0,76.0,,delta,~9.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",,hospitalization,severe,USA,veterans 21+,general pop,79.0,71.0,85.0,,delta,~9.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",,ICU admission or death,severe,USA,veterans 21+,general pop,90.0,21.0,99.0,,delta,~9.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",,infection,infection,USA,veterans 21+,general pop,74.0,70.0,78.0,,delta,~9.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,mRNA-1273 (Moderna),Moderna,excluded,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",,hospitalization,severe,USA,veterans 21+,general pop,80.0,68.0,88.0,,delta,~9.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 or mRNA-1273 by April 30, 2021",,infection,infection,USA,veterans 21+,general pop,73.0,71.0,76.0,,delta,~9.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 or mRNA-1273 by April 30, 2021",,hospitalization,severe,USA,veterans 21+,general pop,80.0,73.0,85.0,,delta,~9.5 weeks,,,,,
83,Butt,Retrospective cohort,03May2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,"complete vaccination with 2 doses of BNT162b2 or mRNA-1273 by April 30, 2021",,ICU admission or death,severe,USA,veterans 21+,general pop,94.0,52.0,99.0,,delta,~9.5 weeks,,,,,
84,Amir,Retrospective cohort,05May2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥4 months prior,0-30,hospitalization or death,severe,Israel,≥ 60 years,≥ 60 years,57.0,37.5,71.0,,omicron,~31 weeks,,,,,
84,Amir,Retrospective cohort,05May2022,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥4 months prior,180-210,hospitalization or death,severe,Israel,≥ 60 years,≥ 60 years,67.8,59.0,75.6,,omicron,~31 weeks,,,,,
84,Amir,Retrospective cohort,05May2022,BNT162b2 (Pfizer) (3 doses),Pfizer,excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥4 months prior,0-60,hospitalization or death,severe,Israel,≥ 60 years,≥ 60 years,89.2,88.0,91.0,,omicron,~31 weeks,,,,,
85,Rennert,Propensity matched case control,07May2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,7+,infection,infection,USA,≥ 18 years,general pop,42.8,22.7,57.6,,omicron,~16 weeks,,,,,
85,Rennert,Propensity matched case control,07May2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,7+,infection,infection,USA,≥ 18 years,general pop,48.5,25.0,64.7,,omicron,~16 weeks,,,,,
85,Rennert,Propensity matched case control,07May2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,7+,infection,infection,USA,18-65 years,18-65 years,74.3,42.1,88.6,,omicron,~16 weeks,,,,,
85,Rennert,Propensity matched case control,07May2022,mRNA-1273 (Moderna),Moderna,included,unvaccinated individuals,7+,infection,infection,USA,18-65 years,18-65 years,60.4,32.4,76.8,,omicron,~16 weeks,,,,,
86,Fano,Retrospective cohort,18May2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,15-19,infection,infection,Italy,≥ 12 years,general pop,69.1,67.5,70.7,,alpha & delta,~26 weeks,,,,,
86,Fano,Retrospective cohort,18May2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,75+,infection,infection,Italy,≥ 12 years,general pop,50.8,46.0,55.1,,alpha & delta,~26 weeks,,,,,
86,Fano,Retrospective cohort,18May2022,AZD1222 (AstraZeneca),AZD1222 (AstraZeneca),excluded,unvaccinated individuals,15-19,infection,infection,Italy,≥ 12 years,general pop,59.9,56.4,63.0,,alpha & delta,~26 weeks,,,,,
86,Fano,Retrospective cohort,18May2022,AZD1222 (AstraZeneca),AZD1222 (AstraZeneca),excluded,unvaccinated individuals,40+,infection,infection,Italy,≥ 12 years,general pop,23.4,12.1,33.3,,alpha & delta,~26 weeks,,,,,
86,Fano,Retrospective cohort,18May2022,Ad26.COV2.S (Janssen),Janssen,excluded,unvaccinated individuals,15-19,infection,infection,Italy,≥ 12 years,general pop,52.8,47.2,57.9,,alpha & delta,~26 weeks,,,,,
86,Fano,Retrospective cohort,18May2022,Ad26.COV2.S (Janssen),Janssen,excluded,unvaccinated individuals,40+,infection,infection,Italy,≥ 12 years,general pop,26.9,16.3,36.3,,alpha & delta,~26 weeks,,,,,
86,Fano,Retrospective cohort,18May2022,AZD1222 (AstraZeneca),Pfizer,excluded,unvaccinated individuals,10-14,infection,infection,Italy,≥ 12 years,general pop,28.0,0.0,48.5,,alpha & delta,~26 weeks,,,,,
86,Fano,Retrospective cohort,18May2022,AZD1222 (AstraZeneca),Pfizer,excluded,unvaccinated individuals,15+,infection,infection,Italy,≥ 12 years,general pop,28.8,12.9,41.8,,alpha & delta,~26 weeks,,,,,
87,Amir,Retrospective cohort,09Sept2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,14-60,infection,infection,Israel,12-15 years,12-15 years,80.0,76.7,83.1,,omicron,~7 weeks,,,,,
87,Amir,Retrospective cohort,09Sept2022,BNT162b2 (Pfizer),Pfizer,included,complete vaccination with 2 doses 120+ days prior,14-60,infection,infection,Israel,12-15 years,12-15 years,76.2,72.2,79.6,,omicron,~7 weeks,,,,,
88,Chin,Retrospective cohort,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,40.9,31.9,48.7,,omicron,~32 weeks,,,,,
88,Chin,Retrospective cohort,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,72.1,67.2,76.2,,omicron,~32 weeks,,,,,
88,Chin,Retrospective cohort,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,"previously infected before July 1, 2021",unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,57.7,50.8,63.6,,omicron,~32 weeks,,,,,
88,Chin,Retrospective cohort,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,"previously infected before July 1, 2021",unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,77.6,71.7,82.2,,omicron,~32 weeks,,,,,
88,Chin,Retrospective cohort,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,"previously infected between July 1 and November 30, 2021",unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,84.6,70.7,91.9,,omicron,~32 weeks,,,,,
88,Chin,Retrospective cohort,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,"previously infected between July 1 and November 30, 2021",unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,87.9,76.0,93.9,,omicron,~32 weeks,,,,,
88,Chin,Retrospective test-negative case control,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,excluded,unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,43.2,42.2,47.4,,omicron,~32 weeks,,,,,
88,Chin,Retrospective test-negative case control,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,"previously infected before July 1, 2021",unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,61.3,60.7,64.8,,omicron,~32 weeks,,,,,
88,Chin,Retrospective test-negative case control,26Oct2022,BNT162b2 (Pfizer) or mRNA-1273 (Moderna),Pfizer,"previously infected between July 1 and November 30, 2021",unvaccinated individuals,14+,infection,infection,USA,prison residents and staff ≥ 18 years,prison residents and staff,86.8,82.1,92.7,,omicron,~32 weeks,,,,,
89,Marra,Retrospective cohort,27May2022,CoronaVac (Sinovac),Pfizer,excluded,complete vaccination with 2 doses of CoronaVac,14+,infection,infection,Brazil,HCW,HCW,92.0,89.1,94.3,,delta,~11 weeks,,,,,
89,Marra,Retrospective cohort,27May2022,AZD1222 (AstraZeneca),Pfizer,excluded,complete vaccination with 2 doses of AZD1222,14+,infection,infection,Brazil,HCW,HCW,60.5,44.9,72.4,,delta,~11 weeks,,,,,
