,Study ID,first author,booster vaccine,reference group,VE,LCL,UCL,timing_of_dose_days,population_category,outcome_category,time_sup,time_inf
636,77,Cerqueira-Silva ,Moderna,unvaccinated individuals,47.5,21.5,64.9,18,general pop,symptomatic,29,7
638,77,Cerqueira-Silva ,Moderna,complete vaccination with AZD1222,40.8,11.4,60.5,18,general pop,symptomatic,29,7
640,77,Cerqueira-Silva ,Pfizer,unvaccinated individuals,69.1,67.6,70.5,21,general pop,symptomatic,29,14
642,77,Cerqueira-Silva ,Pfizer,unvaccinated individuals,95.3,85.1,98.5,21,general pop,severe,29,14
644,77,Cerqueira-Silva ,Pfizer,complete vaccination with BNT162b2,62.7,61.0,64.4,21,general pop,symptomatic,29,14
646,77,Cerqueira-Silva ,Pfizer,complete vaccination with BNT162b2,78.2,27.7,93.4,21,general pop,severe,29,14
648,77,Cerqueira-Silva ,Moderna,unvaccinated individuals,71.9,70.0,73.7,21,general pop,symptomatic,29,14
650,77,Cerqueira-Silva ,Moderna,unvaccinated individuals,96.1,72.1,99.5,21,general pop,severe,29,14
652,77,Cerqueira-Silva ,Moderna,complete vaccination with BNT162b2,66.2,63.9,68.4,21,general pop,symptomatic,29,14
654,77,Cerqueira-Silva ,Moderna,complete vaccination with BNT162b2,78.3,-60.8,97.1,21,general pop,severe,29,14
656,77,Cerqueira-Silva ,Pfizer,unvaccinated individuals,61.1,43.6,73.2,18,general pop,symptomatic,29,7
658,77,Cerqueira-Silva ,Pfizer,complete vaccination with BNT162b2,50.0,27.3,65.6,18,general pop,symptomatic,29,7
660,77,Cerqueira-Silva ,Moderna,unvaccinated individuals,69.2,46.5,82.3,18,general pop,symptomatic,29,7
662,77,Cerqueira-Silva ,Moderna,complete vaccination with BNT162b2,61.0,32.2,77.6,18,general pop,symptomatic,29,7
664,78,Castillo,Pfizer,unvaccinated individuals without prior infection,64.0,63.0,64.0,11,general pop,symptomatic,14,8
666,78,Castillo,Pfizer,unvaccinated individuals without prior infection,90.0,87.0,92.0,11,general pop,severe,14,8
668,78,Castillo,Pfizer,unvaccinated individuals without prior infection,96.0,92.0,99.0,11,general pop,severe,14,8
670,78,Castillo,Pfizer,unvaccinated individuals without prior infection,95.0,89.0,100.0,11,general pop,death,14,8
672,78,Castillo,Pfizer,unvaccinated individuals without prior infection,84.0,79.0,88.0,11,general pop,symptomatic,14,8
674,78,Castillo,Pfizer,unvaccinated individuals without prior infection,98.0,98.0,99.0,11,general pop,severe,14,8
676,78,Castillo,Pfizer,unvaccinated individuals without prior infection,99.0,98.0,99.0,11,general pop,severe,14,8
678,78,Castillo,Pfizer,unvaccinated individuals without prior infection,98.0,96.0,100.0,11,general pop,death,14,8
692,80,Kirsebom,AZD1222 (AstraZeneca),unvaccinated individuals,51.7,38.9,61.8,24,40-64 years,symptomatic,34,14
694,80,Kirsebom,Pfizer,unvaccinated individuals,63.8,63.0,64.5,24,40-64 years,symptomatic,34,14
696,80,Kirsebom,AZD1222 (AstraZeneca),unvaccinated individuals,51.6,20.8,70.4,24,≥ 65 years,symptomatic,34,14
697,80,Kirsebom,AZD1222 (AstraZeneca),unvaccinated individuals,-27.2,-131.6,30.1,87,≥ 65 years,symptomatic,104,70
699,80,Kirsebom,Pfizer,unvaccinated individuals,58.1,51.6,63.8,24,≥ 65 years,symptomatic,34,14
717,83,Butt,Pfizer,"complete vaccination with 2 doses of BNT162b2 (Pfizer) by April 30, 2021",90.0,22.0,99.0,42,general pop,severe,56,28
727,83,Butt,Moderna,"complete vaccination with 2 doses of mRNA-1273 (Moderna) by April 30, 2021",50.0,-68.0,85.0,42,general pop,severe,56,28
739,84,Amir,Pfizer,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥4 months prior,57.0,37.5,71.0,15,≥ 60 years,severe,30,0
740,84,Amir,Pfizer,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥4 months prior,67.8,59.0,75.6,195,≥ 60 years,severe,210,180
741,84,Amir,Pfizer,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥4 months prior,89.2,88.0,91.0,30,≥ 60 years,severe,60,0
746,86,Fano,Pfizer,unvaccinated individuals,69.1,67.5,70.7,17,general pop,infection,19,15
748,86,Fano,AZD1222 (AstraZeneca),unvaccinated individuals,59.9,56.4,63.0,17,general pop,infection,19,15
750,86,Fano,Janssen,unvaccinated individuals,52.8,47.2,57.9,17,general pop,infection,19,15
752,86,Fano,Pfizer,unvaccinated individuals,28.0,0.0,48.5,12,general pop,infection,14,10
754,87,Amir,Pfizer,unvaccinated individuals,80.0,76.7,83.1,37,12-15 years,infection,60,14
755,87,Amir,Pfizer,complete vaccination with 2 doses 120+ days prior,76.2,72.2,79.6,37,12-15 years,infection,60,14
768,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,49.6,48.3,50.8,14,general pop,infection,28,1
769,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,49.7,47.8,51.5,49,general pop,infection,70,29
770,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,73.8,68.9,77.9,14,general pop,severe,28,1
771,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,86.1,81.9,89.4,49,general pop,severe,70,29
772,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,92.6,86.5,96.0,49,general pop,death,70,29
773,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,49.2,48.4,50.0,14,general pop,infection,28,1
774,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,54.8,53.3,56.3,49,general pop,infection,70,29
775,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,78.2,75.2,80.8,14,general pop,severe,28,1
776,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,83.9,80.0,87.1,49,general pop,severe,70,29
777,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,77.4,66.3,84.9,14,general pop,death,28,1
778,91,Hulme,Pfizer,complete vaccination with 2 doses of AZD1222 or BNT162b2,93.5,87.6,96.6,49,general pop,death,70,29
828,99,Breznik,Pfizer,complete vaccination with 3 doses,81.0,70.0,88.0,90,nursing and retirement home residents,infection,120,60
858,104,Link-Gelles,Pfizer,unvaccinated individuals,84.0,83.0,85.0,63,general pop,symptomatic,119,7
860,104,Link-Gelles,Pfizer,unvaccinated individuals,92.0,91.0,93.0,63,general pop,severe,119,7
862,104,Link-Gelles,Pfizer,unvaccinated individuals,56.0,51.0,61.0,63,general pop,symptomatic,119,7
864,104,Link-Gelles,Pfizer,unvaccinated individuals,69.0,58.0,76.0,63,general pop,severe,119,7
868,105,Hertz,Pfizer,complete vaccination with 3 doses of BNT162b2 (Pfizer) ≥3 months prior,45.5,19.0,63.0,19,HCW,symptomatic,30,8
869,105,Hertz,Pfizer,complete vaccination with 3 doses of BNT162b2 (Pfizer) ≥3 months prior,37.0,15.0,53.0,75,HCW,symptomatic,90,60
870,106,Cerqueira-Silva ,Pfizer,unvaccinated individuals,63.6,62.8,64.3,22,general pop,symptomatic,30,14
872,106,Cerqueira-Silva ,Pfizer,unvaccinated individuals,89.4,87.8,90.7,22,general pop,death,30,14
874,106,Cerqueira-Silva ,Pfizer,unvaccinated individuals,90.2,87.6,92.3,22,general pop,death,30,14
876,106,Cerqueira-Silva ,Pfizer,complete vaccination with 2 doses at least 4 months prior,62.9,62.1,63.7,22,general pop,symptomatic,30,14
878,106,Cerqueira-Silva ,Pfizer,complete vaccination with 2 doses at least 4 months prior,71.2,67.1,74.9,22,general pop,death,30,14
900,110,Stirrup,Pfizer,complete vaccination with 2 doses at least 84 days prior,72.0,67.0,76.0,31,LTCF staff,infection,48,14
902,110,Stirrup,Pfizer,complete vaccination with 2 doses at least 84 days prior,63.0,54.0,70.0,31,LTCF staff,infection,48,14
904,110,Stirrup,Pfizer,complete vaccination with 2 doses at least 84 days prior,80.0,67.0,88.0,31,LTCF staff,infection,48,14
906,110,Stirrup,Pfizer,complete vaccination with 2 doses at least 84 days prior,75.0,52.0,87.0,31,LTCF staff,infection,48,14
920,113,Kim,Pfizer,unvaccinated individuals,56.3,50.0,61.7,21,12-18 years,infection,29,14
921,113,Kim,Pfizer,unvaccinated individuals,55.2,47.3,61.9,44,12-18 years,infection,59,30
939,115,Powell,Pfizer,unvaccinated individuals,62.9,60.5,65.1,59,11-17 years,symptomatic,104,14
940,115,Powell,Pfizer,unvaccinated individuals,33.6,14.6,48.3,139,11-17 years,symptomatic,174,105
941,115,Powell,Pfizer,unvaccinated individuals,96.0,92.2,97.9,59,11-17 years,symptomatic,104,14
964,119,Ng,Pfizer,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,31.7,30.0,33.4,37,≥ 30 years,infection,60,15
965,119,Ng,Pfizer,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,-2.8,-5.4,0.3,225,≥ 30 years,infection,330,121
966,119,Ng,Pfizer,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,85.2,80.2,88.9,37,≥ 30 years,severe,60,15
967,119,Ng,Pfizer,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,87.3,84.2,89.8,225,≥ 30 years,severe,330,121
968,119,Ng,Moderna,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,41.3,39.4,43.1,37,≥ 30 years,infection,60,15
969,119,Ng,Moderna,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,14.6,11.0,18.0,225,≥ 30 years,infection,330,121
970,119,Ng,Moderna,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,97.5,89.7,99.4,37,≥ 30 years,severe,60,15
971,119,Ng,Moderna,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,89.0,78.9,94.2,225,≥ 30 years,severe,330,121
972,119,Ng,Moderna,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,34.9,33.0,36.8,37,≥ 30 years,infection,60,15
973,119,Ng,Moderna,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,3.69,0.03,7.21,225,≥ 30 years,infection,330,121
974,119,Ng,Moderna,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,87.3,72.8,94.1,37,≥ 30 years,severe,60,15
975,119,Ng,Moderna,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,84.4,73.4,90.9,225,≥ 30 years,severe,330,121
976,119,Ng,Pfizer,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,35.6,32.8,38.3,37,≥ 30 years,infection,60,15
977,119,Ng,Pfizer,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,9.7,2.7,16.3,225,≥ 30 years,infection,330,121
978,119,Ng,Pfizer,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,100.0,-inf,100.0,37,≥ 30 years,severe,60,15
979,119,Ng,Pfizer,complete vaccination with 2 doses of any mRNA vaccine 5 months prior,86.3,44.7,96.6,225,≥ 30 years,severe,330,121
980,120,Cocchio,Pfizer,unvaccinated individuals,72.0,70.0,73.0,24,12-17 years,infection,34,14
981,120,Cocchio,Pfizer,unvaccinated individuals,30.0,27.0,33.0,52,12-17 years,infection,69,35
982,120,Cocchio,Pfizer,unvaccinated individuals,71.0,66.0,74.0,24,12-17 years,infection,34,14
983,120,Cocchio,Pfizer,unvaccinated individuals,32.0,26.0,38.0,52,12-17 years,infection,69,35
984,121,Suphanchaimat,AZD1222 (AstraZeneca),unvaccinated individuals,99.1,93.6,99.9,44,general pop,infection,59,30
985,121,Suphanchaimat,AZD1222 (AstraZeneca),unvaccinated individuals,97.9,91.4,99.5,74,general pop,infection,89,60
986,121,Suphanchaimat,Pfizer,unvaccinated individuals,97.2,79.8,99.6,22,general pop,infection,29,15
993,124,Huang,Ad5-nCoV (CanSino),unvaccinated individuals,16.0,1.5,28.4,129,general pop,infection,168,91
996,126,Tan,Pfizer,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,35.0,31.0,40.0,19,80+ years,symptomatic,30,8
999,126,Tan,Pfizer,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,58.0,50.0,64.0,19,80+ years,severe,30,8
1002,126,Tan,Pfizer,complete vaccination with 3 doses of BNT162b2 (Pfizer) or mRNA-1273 (Moderna) ≥5 months prior,58.0,42.0,69.0,19,80+ years,severe,30,8
1007,128,Collie,Pfizer,unvaccinated individuals,81.6,68.1,89.4,20,general pop,severe,27,14
1008,128,Collie,Pfizer,unvaccinated individuals,50.0,4.4,73.0,105,general pop,severe,120,90
1009,128,Collie,Pfizer,unvaccinated individuals,68.8,59.5,76.0,45,general pop,severe,60,30
1010,128,Collie,Pfizer,unvaccinated individuals,46.8,35.3,56.2,105,general pop,severe,120,90
1012,129,Schrag,Pfizer,unvaccinated individuals,79.0,59.0,89.0,63,pregnant persons,symptomatic,119,7
1015,129,Schrag,Pfizer,unvaccinated individuals,86.0,28.0,97.0,63,pregnant persons,severe,119,7
1044,132,Chiew,Pfizer,unvaccinated individuals,59.0,56.0,62.0,11,12-17 years,infection,14,8
1047,132,Chiew,Pfizer,unvaccinated individuals,96.0,87.0,99.0,11,12-17 years,severe,14,8
1060,134,Link-Gelles,Pfizer,unvaccinated individuals,56.0,45.0,65.0,63,general pop,symptomatic,119,7
1062,134,Link-Gelles,Pfizer,unvaccinated individuals,54.0,23.0,72.0,63,general pop,severe,119,7
1064,134,Link-Gelles,Moderna,unvaccinated individuals,72.0,61.0,80.0,63,general pop,symptomatic,119,7
1066,134,Link-Gelles,Moderna,unvaccinated individuals,73.0,50.0,86.0,63,general pop,severe,119,7
1068,134,Link-Gelles,Any mRNA - heterologous,unvaccinated individuals,70.0,52.0,81.0,63,general pop,symptomatic,119,7
1071,134,Link-Gelles,Pfizer,unvaccinated individuals,60.0,50.0,68.0,33,≥ 50 years,symptomatic,59,7
1073,134,Link-Gelles,Pfizer,unvaccinated individuals,44.0,18.0,62.0,33,≥ 50 years,severe,59,7
1075,134,Link-Gelles,Moderna,unvaccinated individuals,67.0,56.0,76.0,33,≥ 50 years,symptomatic,59,7
1077,134,Link-Gelles,Moderna,unvaccinated individuals,73.0,55.0,84.0,33,≥ 50 years,severe,59,7
1079,134,Link-Gelles,Any mRNA - heterologous (4th dose),unvaccinated individuals,52.0,32.0,66.0,33,≥ 50 years,symptomatic,59,7
1081,134,Link-Gelles,Any mRNA - heterologous (4th dose),unvaccinated individuals,65.0,36.0,80.0,33,≥ 50 years,severe,59,7
1083,134,Link-Gelles,Pfizer,complete vaccination at least 150 days prior,46.0,39.0,58.0,63,general pop,symptomatic,119,7
1084,134,Link-Gelles,Pfizer,complete vaccination at least 150 days prior,57.0,35.0,72.0,63,general pop,severe,119,7
1085,134,Link-Gelles,Pfizer,receipt of 3 doses at least 150 days prior,35.0,28.0,41.0,63,≥ 65 years,symptomatic,119,7
1086,134,Link-Gelles,Pfizer,receipt of 3 doses at least 150 days prior,37.0,25.0,46.0,63,≥ 65 years,severe,119,7
1105,136,Lin,Pfizer,complete vaccination at least 120 days prior,51.6,48.9,54.1,30,≥ 5 years,infection,30,30
1106,136,Lin,Pfizer,complete vaccination at least 120 days prior,16.5,14.1,18.8,90,≥ 5 years,infection,90,90
1107,136,Lin,Moderna,complete vaccination at least 120 days prior,60.4,51.7,67.5,30,≥ 5 years,infection,30,30
1108,136,Lin,Moderna,complete vaccination at least 120 days prior,21.8,11.2,31.2,120,≥ 5 years,infection,120,120
1109,136,Lin,Pfizer,complete vaccination at least 120 days prior,61.3,55.9,66.1,30,≥ 5 years,infection,30,30
1110,136,Lin,Pfizer,complete vaccination at least 120 days prior,16.4,2.1,28.6,120,≥ 5 years,infection,120,120
1111,136,Lin,Moderna,complete vaccination at least 120 days prior,55.3,51.7,58.6,30,≥ 5 years,infection,30,30
1112,136,Lin,Moderna,complete vaccination at least 120 days prior,22.3,19.0,25.4,90,≥ 5 years,infection,90,90
1113,136,Lin,Pfizer,complete vaccination at least 120 days prior,38.2,29.8,45.5,30,≥ 5 years,infection,30,30
1114,136,Lin,Pfizer,complete vaccination at least 120 days prior,20.7,13.0,27.8,60,≥ 5 years,infection,60,60
1115,136,Lin,Moderna,complete vaccination at least 120 days prior,46.4,39.1,52.9,30,≥ 5 years,infection,30,30
1116,136,Lin,Moderna,complete vaccination at least 120 days prior,4.8,0.0,12.4,60,≥ 5 years,infection,60,60
1117,136,Lin,Pfizer,complete vaccination at least 120 days prior,60.1,64.3,70.4,30,≥ 5 years,infection,30,30
1118,136,Lin,Pfizer,complete vaccination at least 120 days prior,53.1,50.2,55.9,60,≥ 5 years,infection,60,60
1119,136,Lin,Moderna,complete vaccination at least 120 days prior,68.2,62.4,73.1,30,≥ 5 years,infection,30,30
1120,136,Lin,Moderna,complete vaccination at least 120 days prior,64.1,60.8,67.2,60,≥ 5 years,infection,60,60
1121,136,Lin,Pfizer,complete vaccination at least 120 days prior,66.8,64.1,69.3,30,≥ 5 years,infection,30,30
1122,136,Lin,Pfizer,complete vaccination at least 120 days prior,58.3,55.8,60.7,60,≥ 5 years,infection,60,60
1123,136,Lin,Moderna,complete vaccination at least 120 days prior,61.6,57.4,65.5,30,≥ 5 years,infection,30,30
1124,136,Lin,Moderna,complete vaccination at least 120 days prior,52.8,48.7,56.6,60,≥ 5 years,infection,60,60
1125,137,McConeghy,Pfizer,receipt of 3 doses at least 120 days prior,25.8,1.2,44.3,30,nursing home residents,infection,60,0
1126,137,McConeghy,Pfizer,receipt of 3 doses at least 120 days prior,60.1,-18.8,91.5,30,nursing home residents,severe,60,0
1127,137,McConeghy,Pfizer,receipt of 3 doses at least 120 days prior,89.6,45.0,100.0,30,nursing home residents,death,60,0
1128,137,McConeghy,Pfizer,receipt of 3 doses at least 120 days prior,73.9,36.1,92.2,30,nursing home residents,severe,60,0
1129,138,Tseng,Moderna,unvaccinated individuals,85.8,82.7,88.3,22,general pop,infection,30,14
1131,138,Tseng,Moderna,complete vaccination with 2 doses,81.0,77.0,54.4,22,general pop,infection,30,14
1135,138,Tseng,Moderna,unvaccinated individuals,61.0,27.6,79.0,22,general pop,infection,30,14
1137,138,Tseng,Moderna,complete vaccination with 2 doses,63.6,32.3,80.4,22,general pop,infection,30,14
1141,138,Tseng,Moderna,unvaccinated individuals,64.3,50.7,74.2,22,general pop,infection,30,14
1143,138,Tseng,Moderna,complete vaccination with 3 doses,64.3,52.0,73.5,22,general pop,infection,30,14
1147,138,Tseng,Moderna,unvaccinated individuals,82.7,44.2,94.7,22,general pop,infection,30,14
1149,138,Tseng,Moderna,complete vaccination with 2 doses,85.2,52.2,95.4,22,general pop,infection,30,14
1151,138,Tseng,Moderna,unvaccinated individuals,64.4,48.6,75.4,22,general pop,infection,30,14
1153,138,Tseng,Moderna,complete vaccination with 3 doses,72.1,60.8,80.2,22,general pop,infection,30,14
1155,138,Tseng,Moderna,unvaccinated individuals,72.6,-54.7,96.6,22,general pop,infection,30,14
1157,138,Tseng,Moderna,complete vaccination with 2 doses,71.8,-55.7,96.5,22,general pop,infection,30,14
1159,138,Tseng,Moderna,unvaccinated individuals,75.7,34.7,91.0,22,general pop,infection,30,14
1161,138,Tseng,Moderna,complete vaccination with 3 doses,80.8,49.6,92.7,22,general pop,infection,30,14
1163,138,Tseng,Moderna,unvaccinated individuals,90.6,30.6,98.7,22,general pop,infection,30,14
1165,138,Tseng,Moderna,complete vaccination with 2 doses,91.0,33.6,98.8,22,general pop,infection,30,14
1167,138,Tseng,Moderna,unvaccinated individuals,30.8,-9.2,56.5,22,general pop,infection,30,14
1169,138,Tseng,Moderna,complete vaccination with 3 doses,43.2,12.4,63.1,22,general pop,infection,30,14
1175,139,Risk,Pfizer,unvaccinated individuals,56.3,36.5,70.6,45,12-17 years,infection,90,0
1200,144,UKHSA,Pfizer,complete vaccination with 3 doses at least 25-39 weeks prior,58.8,54.1,63.0,21,≥ 75 years,severe,28,14
1202,145,Wan,Pfizer,unvaccinated individuals,-0.1,-2.6,2.3,97,60-79 years,infection,180,14
1203,145,Wan,Pfizer,unvaccinated individuals,90.4,88.7,91.8,97,60-79 years,severe,180,14
1204,145,Wan,Pfizer,unvaccinated individuals,89.3,79.1,94.5,97,60-79 years,severe,180,14
1205,145,Wan,Pfizer,unvaccinated individuals,97.9,95.3,99.1,97,60-79 years,death,180,14
1206,145,Wan,Pfizer,unvaccinated individuals,73.8,70.6,76.6,97,≥ 80 years,infection,180,14
1207,145,Wan,Pfizer,unvaccinated individuals,90.5,87.0,93.1,97,≥ 80 years,severe,180,14
1208,145,Wan,Pfizer,unvaccinated individuals,78.7,40.3,92.4,97,≥ 80 years,severe,180,14
1209,145,Wan,Pfizer,unvaccinated individuals,96.1,91.2,98.3,97,≥ 80 years,death,180,14
1210,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,-9.3,-39.0,14.0,97,60-79 years,infection,180,14
1211,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,81.9,79.7,83.8,97,60-79 years,severe,180,14
1212,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,85.2,75.8,91.0,97,60-79 years,severe,180,14
1213,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,96.1,93.5,97.7,97,60-79 years,death,180,14
1214,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,49.2,45.5,52.6,97,≥ 80 years,infection,180,14
1215,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,87.3,84.3,89.7,97,≥ 80 years,severe,180,14
1216,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,88.8,64.4,96.5,97,≥ 80 years,severe,180,14
1217,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,93.7,89.5,96.2,97,≥ 80 years,death,180,14
1218,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,49.4,47.8,50.9,97,60-79 years,infection,180,14
1219,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,94.0,55.5,99.2,97,60-79 years,severe,180,14
1220,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,62.7,10.1,84.5,97,≥ 80 years,infection,180,14
1221,145,Wan,CoronaVac (Sinovac),unvaccinated individuals,85.0,-10.9,98.0,97,≥ 80 years,severe,180,14
1222,145,Wan,Pfizer,unvaccinated individuals,-0.1,-2.6,2.3,97,60-79 years,infection,180,14
1223,145,Wan,Pfizer,unvaccinated individuals,85.5,82.3,88.2,97,60-79 years,severe,180,14
1224,145,Wan,Pfizer,unvaccinated individuals,92.2,74.9,97.6,97,60-79 years,severe,180,14
1225,145,Wan,Pfizer,unvaccinated individuals,97.3,92.1,99.1,97,60-79 years,death,180,14
1226,145,Wan,Pfizer,unvaccinated individuals,55.8,48.5,62.1,97,≥ 80 years,infection,180,14
1227,145,Wan,Pfizer,unvaccinated individuals,88.8,82.0,93.0,97,≥ 80 years,severe,180,14
1228,145,Wan,Pfizer,unvaccinated individuals,94.0,80.7,98.2,97,≥ 80 years,death,180,14
1237,147,Consonni,Pfizer,unvaccinated individuals,57.0,35.0,71.0,18,HCW,infection,29,7
1239,147,Consonni,Pfizer,unvaccinated individuals,71.0,23.0,89.0,18,HCW,infection,29,7
1257,149,Britton,Pfizer,unvaccinated individuals,75.0,71.0,79.0,48,immunocompromised,severe,89,7
1266,150,Surie,Pfizer,unvaccinated individuals,79.0,74.0,84.0,63,general pop,severe,120,7
1269,150,Surie,Pfizer,unvaccinated individuals,61.0,29.0,78.0,63,general pop,severe,120,7
1270,150,Surie,Pfizer,unvaccinated individuals,60.0,12.0,81.0,63,general pop,severe,120,7
1273,150,Surie,Pfizer,unvaccinated individuals,61.0,37.0,76.0,63,general pop,severe,120,7
1280,151,Tartof,Pfizer,unvaccinated individuals,72.0,13.0,91.0,120,general pop,severe,150,90
1290,152,Moghnieh,Pfizer,unvaccinated individuals,57.0,23.2,75.5,33,general pop,infection,60,7
1291,152,Moghnieh,Pfizer,unvaccinated individuals,53.7,13.3,74.7,33,general pop,infection,60,7
1292,152,Moghnieh,Pfizer,unvaccinated individuals,90.5,71.6,97.8,33,general pop,infection,60,7
1293,152,Moghnieh,Pfizer,unvaccinated individuals,63.7,-9.1,91.6,33,general pop,infection,60,7
1294,152,Moghnieh,Pfizer,unvaccinated individuals,48.6,-92.2,92.1,33,general pop,infection,60,7
1295,152,Moghnieh,Pfizer,unvaccinated individuals,84.1,19.6,99.1,33,general pop,infection,60,7
1296,153,Grewal,Pfizer,unvaccinated individuals,96.0,93.0,97.0,149,50-59 years,severe,179,120
1297,153,Grewal,Pfizer,unvaccinated individuals,98.0,93.0,99.0,209,50-59 years,severe,239,180
1298,153,Grewal,Pfizer,unvaccinated individuals,97.0,77.0,100.0,33,50-59 years,severe,59,7
1299,153,Grewal,Pfizer,unvaccinated individuals,95.0,96.0,96.0,89,60-69 years,severe,119,60
1300,153,Grewal,Pfizer,unvaccinated individuals,90.0,79.0,95.0,209,60-69 years,severe,239,180
1301,153,Grewal,Pfizer,unvaccinated individuals,96.0,93.0,98.0,33,60-69 years,severe,59,7
1302,153,Grewal,Pfizer,unvaccinated individuals,95.0,77.0,99.0,89,60-69 years,severe,119,60
1303,153,Grewal,Pfizer,unvaccinated individuals,96.0,96.0,97.0,33,70-79 years,severe,59,7
1304,153,Grewal,Pfizer,unvaccinated individuals,91.0,85.0,95.0,209,70-79 years,severe,239,180
1305,153,Grewal,Pfizer,unvaccinated individuals,96.0,94.0,97.0,33,70-79 years,severe,59,7
1306,153,Grewal,Pfizer,unvaccinated individuals,93.0,87.0,96.0,89,70-79 years,severe,119,60
1307,153,Grewal,Pfizer,unvaccinated individuals,92.0,90.0,93.0,33,80+ years,severe,59,7
1308,153,Grewal,Pfizer,unvaccinated individuals,87.0,80.0,91.0,209,80+ years,severe,239,180
1309,153,Grewal,Pfizer,unvaccinated individuals,94.0,92.0,95.0,33,80+ years,severe,59,7
1311,153,Grewal,Pfizer,unvaccinated individuals,77.0,50.0,89.0,149,50-59 years,severe,179,120
1312,153,Grewal,Pfizer,unvaccinated individuals,75.0,60.0,84.0,209,50-59 years,severe,239,180
1313,153,Grewal,Pfizer,unvaccinated individuals,95.0,82.0,98.0,33,50-59 years,severe,59,7
1314,153,Grewal,Pfizer,unvaccinated individuals,94.0,53.0,99.0,89,60-69 years,severe,119,60
1315,153,Grewal,Pfizer,unvaccinated individuals,69.0,55.0,78.0,209,60-69 years,severe,239,180
1316,153,Grewal,Pfizer,unvaccinated individuals,88.0,78.0,94.0,33,60-69 years,severe,59,7
1317,153,Grewal,Pfizer,unvaccinated individuals,81.0,70.0,88.0,89,60-69 years,severe,119,60
1318,153,Grewal,Pfizer,unvaccinated individuals,86.0,37.0,97.0,33,70-79 years,severe,59,7
1319,153,Grewal,Pfizer,unvaccinated individuals,59.0,44.0,70.0,209,70-79 years,severe,239,180
1320,153,Grewal,Pfizer,unvaccinated individuals,85.0,77.0,90.0,33,70-79 years,severe,59,7
1321,153,Grewal,Pfizer,unvaccinated individuals,86.0,80.0,90.0,89,70-79 years,severe,119,60
1322,153,Grewal,Pfizer,unvaccinated individuals,76.0,27.0,92.0,33,≥ 80 years,severe,59,7
1323,153,Grewal,Pfizer,unvaccinated individuals,52.0,36.0,64.0,209,≥ 80 years,severe,239,180
1324,153,Grewal,Pfizer,unvaccinated individuals,86.0,79.0,90.0,33,≥ 80 years,severe,59,7
1326,153,Grewal,Pfizer,complete vaccination with 2 doses,79.0,72.0,84.0,33,50-59 years,severe,59,7
1327,153,Grewal,Pfizer,complete vaccination with 2 doses,57.0,35.0,72.0,89,50-59 years,severe,119,60
1328,153,Grewal,Pfizer,complete vaccination with 2 doses,89.0,69.0,96.0,33,50-59 years,severe,59,7
