study ID,first author,vaccine,dose_number,dose,days_since_first_dose,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,dose interval,notes,
130,UKHSA,Pfizer,2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,9.4,7.8,11.1,omicron,omicron,~32 weeks,,,
130,UKHSA,AZD1222 (AstraZeneca),2,final,2-4 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,49.8,40.7,57.5,omicron,omicron,~32 weeks,,,
130,UKHSA,AZD1222 (AstraZeneca),2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,-1,-2.4,0.3,omicron,omicron,~32 weeks,,,
130,UKHSA,Moderna,2,final,2-4 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,76,72,79,omicron,omicron,~32 weeks,,,
130,UKHSA,Moderna,2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,13,3,22,omicron,omicron,~32 weeks,,,
130,UKHSA,Pfizer,2,final,2-4 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,90.9,89.6,92,delta,delta,~32 weeks,,,
130,UKHSA,Pfizer,2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,62.7,61.6,63.7,delta,delta,~32 weeks,,,
130,UKHSA,AZD1222 (AstraZeneca),2,final,2-4 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,82.8,74.5,88.4,delta,delta,~32 weeks,,,
130,UKHSA,AZD1222 (AstraZeneca),2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,43.5,42.4,44.5,delta,delta,~32 weeks,,,
130,UKHSA,Moderna,2,final,2-4 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,94.5,90.5,96.9,delta,delta,~32 weeks,,,
130,UKHSA,Moderna,2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,80.4,67.3,88.2,delta,delta,~32 weeks,,,
130,UKHSA,Pfizer,2,final,2-4 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,73.6,40.7,88.3,omicron,omicron,~32 weeks,,,
130,UKHSA,Pfizer,2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,34.9,17.7,48.4,omicron,omicron,~32 weeks,,,
130,UKHSA,AZD1222 (AstraZeneca),2,final,20-24 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,55.8,34.1,70.3,omicron,omicron,~32 weeks,,,
130,UKHSA,AZD1222 (AstraZeneca),2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,32.7,19.7,43.6,omicron,omicron,~32 weeks,,,
130,UKHSA,Pfizer,2,final,2-4 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,94.1,81.6,98.1,delta,delta,~32 weeks,,,
130,UKHSA,Pfizer,2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,95.3,93.9,96.5,delta,delta,~32 weeks,,,
130,UKHSA,AZD1222 (AstraZeneca),2,final,20-24 weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,92.9,91.3,94.2,delta,delta,~32 weeks,,,
130,UKHSA,AZD1222 (AstraZeneca),2,final,25+ weeks,symptomatic disease,symptomatic,UK,≥ 18 years,general pop,90.6,89.3,91.8,delta,delta,~32 weeks,,,
131,Bajema,Pfizer,2,final,14-119,Hospitalization,severe,USA,≥ 18 years,general pop,86,77.6,91.3,,"non-VOC, alpha, & delta",~36 weeks,,,
131,Bajema,Pfizer,2,final,120+,Hospitalization,severe,USA,≥ 18 years,general pop,75.1,64.6,82.4,,"non-VOC, alpha, & delta",~36 weeks,,,
131,Bajema,Moderna,2,final,14-119,Hospitalization,severe,USA,≥ 18 years,general pop,89.6,80.1,94.5,,"non-VOC, alpha, & delta",~36 weeks,,,
131,Bajema,Moderna,2,final,120+,Hospitalization,severe,USA,≥ 18 years,general pop,86.1,77.7,91.3,,"non-VOC, alpha, & delta",~36 weeks,,,
132,Powell,Pfizer,1,1,14-20,symptomatic disease,symptomatic,UK,12-15 years,12-15 years,49.6,43.9,54.8,omicron,omicron,,,,
132,Powell,Pfizer,2,final,14+,symptomatic disease,symptomatic,UK,12-15 years,12-15 years,73,66.4,78.3,omicron,omicron,~33 weeks,,,
132,Powell,Pfizer,1,1,84+,symptomatic disease,symptomatic,UK,12-15 years,12-15 years,17.2,12,22.1,omicron,omicron,,,,
132,Powell,Pfizer,1,1,14-20,symptomatic disease,symptomatic,UK,16-17 years,16-17 years,51.4,42.7,58.8,omicron,omicron,,,,
132,Powell,Pfizer,2,final,14-34,symptomatic disease,symptomatic,UK,16-17 years,16-17 years,71.3,69.3,73.1,omicron,omicron,~33 weeks,,,
132,Powell,Pfizer,1,1,105+,symptomatic disease,symptomatic,UK,16-17 years,16-17 years,12.5,6.9,17.8,omicron,omicron,,,,
132,Powell,Pfizer,2,final,70+,symptomatic disease,symptomatic,UK,16-17 years,16-17 years,22.6,14.5,29.9,omicron,omicron,~33 weeks,,,
132,Powell,Pfizer,1,1,14-20,symptomatic disease,symptomatic,UK,12-15 years,12-15 years,74.5,73.2,75.6,delta,delta,,,,
132,Powell,Pfizer,2,final,14+,symptomatic disease,symptomatic,UK,12-15 years,12-15 years,87.2,73.7,93.8,delta,delta,~33 weeks,,,
132,Powell,Pfizer,1,1,84+,symptomatic disease,symptomatic,UK,12-15 years,12-15 years,53.1,41.6,62.4,delta,delta,,,,
132,Powell,Pfizer,1,1,14-20,symptomatic disease,symptomatic,UK,16-17 years,16-17 years,75.9,74.3,77.3,delta,delta,,,,
132,Powell,Pfizer,2,final,14-34,symptomatic disease,symptomatic,UK,16-17 years,16-17 years,93.1,91.6,94.4,delta,delta,~33 weeks,,,
132,Powell,Pfizer,1,1,105+,symptomatic disease,symptomatic,UK,16-17 years,16-17 years,30.9,25.4,36,delta,delta,,,,
132,Powell,Pfizer,2,final,70+,symptomatic disease,symptomatic,UK,16-17 years,16-17 years,83.7,72,90.5,delta,delta,~33 weeks,,,
132,Powell,Pfizer,1,1,28+,hospitalization,severe,UK,12-15 years,12-15 years,83.4,54,94,delta,delta,,,,
132,Powell,Pfizer,1,1,28+,hospitalization,severe,UK,16-17 years,16-17 years,76.3,61.1,85.6,delta,delta,,,,
133,Berec,Pfizer,2,final,0-2 months,Infection,infection,Czech Republic,≥ 18 years,general pop,87,86,87,,alpha & delta,~35 weeks,,,
133,Berec,Pfizer,2,final,7-8 months,Infection,infection,Czech Republic,≥ 18 years,general pop,53,52,54,,alpha & delta,~35 weeks,,,
133,Berec,Pfizer,2,final,0-2 months,Hospitalization,severe,Czech Republic,≥ 18 years,general pop,90,89,91,,alpha & delta,~35 weeks,,,
133,Berec,Pfizer,2,final,7-8 months,Hospitalization,severe,Czech Republic,≥ 18 years,general pop,75,73,76,,alpha & delta,~35 weeks,,,
133,Berec,Pfizer,2,final,0-2 months,death,death,Czech Republic,≥ 18 years,general pop,92,90,93,,alpha & delta,~35 weeks,,,
133,Berec,Pfizer,2,final,7-8 months,death,death,Czech Republic,≥ 18 years,general pop,83,81,86,,alpha & delta,~35 weeks,,,
133,Berec,Moderna,2,final,0-2 months,Infection,infection,Czech Republic,≥ 18 years,general pop,90,89,91,,alpha & delta,~35 weeks,,,
133,Berec,Moderna,2,final,7-8 months,Infection,infection,Czech Republic,≥ 18 years,general pop,65,63,67,,alpha & delta,~35 weeks,,,
133,Berec,Moderna,2,final,0-2 months,Hospitalization,severe,Czech Republic,≥ 18 years,general pop,94,92,96,,alpha & delta,~35 weeks,,,
133,Berec,Moderna,2,final,7-8 months,Hospitalization,severe,Czech Republic,≥ 18 years,general pop,81,78,84,,alpha & delta,~35 weeks,,,
133,Berec,Moderna,2,final,0-2 months,death,death,Czech Republic,≥ 18 years,general pop,96,91,98,,alpha & delta,~35 weeks,,,
133,Berec,Moderna,2,final,7-8 months,death,death,Czech Republic,≥ 18 years,general pop,88,82,92,,alpha & delta,~35 weeks,,,
133,Berec,AZD1222 (AstraZeneca),2,final,0-2 months,Infection,infection,Czech Republic,≥ 18 years,general pop,83,80,85,,alpha & delta,~35 weeks,,,
133,Berec,AZD1222 (AstraZeneca),2,final,5-6 months,Infection,infection,Czech Republic,≥ 18 years,general pop,55,54,56,,alpha & delta,~35 weeks,,,
133,Berec,AZD1222 (AstraZeneca),2,final,0-2 months,Hospitalization,severe,Czech Republic,≥ 18 years,general pop,87,81,91,,alpha & delta,~35 weeks,,,
133,Berec,AZD1222 (AstraZeneca),2,final,5-6 months,Hospitalization,severe,Czech Republic,≥ 18 years,general pop,70,68,72,,alpha & delta,~35 weeks,,,
133,Berec,AZD1222 (AstraZeneca),2,final,0-2 months,death,death,Czech Republic,≥ 18 years,general pop,93,77,98,,alpha & delta,~35 weeks,,,
133,Berec,AZD1222 (AstraZeneca),2,final,5-6 months,death,death,Czech Republic,≥ 18 years,general pop,82,78,85,,alpha & delta,~35 weeks,,,
133,Berec,Janssen,2,final,0-2 months,Infection,infection,Czech Republic,≥ 18 years,general pop,68,66,70,,alpha & delta,~35 weeks,,,
133,Berec,Janssen,2,final,5-6 months,Infection,infection,Czech Republic,≥ 18 years,general pop,67,65,69,,alpha & delta,~35 weeks,,,
133,Berec,Janssen,2,final,2 months,Hospitalization,severe,Czech Republic,≥ 18 years,general pop,68,60,75,,alpha & delta,~35 weeks,,,
133,Berec,Janssen,2,final,5-6 months,Hospitalization,severe,Czech Republic,≥ 18 years,general pop,67,62,72,,alpha & delta,~35 weeks,,,
133,Berec,Janssen,2,final,2 months,death,death,Czech Republic,≥ 18 years,general pop,68,42,82,,alpha & delta,~35 weeks,,,
133,Berec,Janssen,2,final,5-6 months,death,death,Czech Republic,≥ 18 years,general pop,68,53,78,,alpha & delta,~35 weeks,,,
134,Machado,Pfizer,2,final,14-41,symptomatic disease,symptomatic,Portugal,65-79 years,65-79 years,79,76,83,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,98+,symptomatic disease,symptomatic,Portugal,65-79 years,65-79 years,39,29,48,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,14-41,symptomatic disease,symptomatic,Portugal,≥ 80 years,≥ 80 years,72,61,79,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,124+,symptomatic disease,symptomatic,Portugal,≥ 80 years,≥ 80 years,34,29,48,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,14-41,Hospitalization,severe,Portugal,65-79 years,65-79 years,95,90,97,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,70+,Hospitalization,severe,Portugal,65-79 years,65-79 years,93,86,96,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,14-41,Hospitalization,severe,Portugal,≥ 80 years,≥ 80 years,83,68,91,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,124+,Hospitalization,severe,Portugal,≥ 80 years,≥ 80 years,63,37,78,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,14-41,death,death,Portugal,65-79 years,65-79 years,95,88,98,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,70+,death,death,Portugal,65-79 years,65-79 years,93,87,96,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,14-41,death,death,Portugal,≥ 80 years,≥ 80 years,87,71,93,,alpha & delta,~29 weeks,,,
134,Machado,Pfizer,2,final,124+,death,death,Portugal,≥ 80 years,≥ 80 years,75,64,82,,alpha & delta,~29 weeks,,,
134,Machado,AZD1222 (AstraZeneca),2,final,14-41,symptomatic disease,symptomatic,Portugal,65-79 years,65-79 years,95,90,97,,alpha & delta,~29 weeks,,,
134,Machado,AZD1222 (AstraZeneca),2,final,70+,symptomatic disease,symptomatic,Portugal,65-79 years,65-79 years,93,86,96,,alpha & delta,~29 weeks,,,
134,Machado,AZD1222 (AstraZeneca),2,final,14+,Hospitalization,severe,Portugal,65-79 years,65-79 years,89,52,94,,alpha & delta,~29 weeks,,,
134,Machado,AZD1222 (AstraZeneca),2,final,14+,death,death,Portugal,65-79 years,65-79 years,95,90,97,,alpha & delta,~29 weeks,,,
135,Florea,Moderna,2,final,14+,Infection,infection,USA,≥ 18 years,general pop,82.8,82.2,83.3,,"non-VOC, alpha, & delta",~35 weeks,,,
135,Florea,Moderna,2,final,14-60,Infection,infection,USA,≥ 18 years,general pop,88,86.8,89.1,,"non-VOC, alpha, & delta",~6.5 weeks,,,
135,Florea,Moderna,2,final,180-240,Infection,infection,USA,≥ 18 years,general pop,75.5,70.4,79.7,,"non-VOC, alpha, & delta",~35 weeks,,,
135,Florea,Moderna,2,final,14+,Hospitalization,severe,USA,≥ 18 years,general pop,96.1,95.5,96.6,,"non-VOC, alpha, & delta",~35 weeks,,,
135,Florea,Moderna,2,final,14-60,Hospitalization,severe,USA,≥ 18 years,general pop,95.9,93.5,97.4,,"non-VOC, alpha, & delta",~6.5 weeks,,,
135,Florea,Moderna,2,final,180-240,Hospitalization,severe,USA,≥ 18 years,general pop,94.5,90.9,96.7,,"non-VOC, alpha, & delta",~35 weeks,,,
135,Florea,Moderna,2,final,14+,death,death,USA,≥ 18 years,general pop,97.2,94.8,98.4,,"non-VOC, alpha, & delta",~35 weeks,,,
135,Florea,Moderna,2,final,14+,Infection,infection,USA,≥ 18 years,general pop,86.5,84.8,88,,delta,~15 weeks,,,
136,Young-Xu,Pfizer,2,final,14-43,Infection,infection,USA,males 65+,males 65+,94.5,90.7,96.7,,non-VOC & alpha,4 weeks,,,
136,Young-Xu,Pfizer,2,final,74-103,Infection,infection,USA,males 65+,males 65+,87.9,85.9,89.5,,non-VOC & alpha,12 weeks,,,
136,Young-Xu,Pfizer,2,final,14-43,Infection,infection,USA,males 65+,males 65+,92.1,87.2,95.1,,alpha & delta,4 weeks,,,
136,Young-Xu,Pfizer,2,final,134-163,Infection,infection,USA,males 65+,males 65+,67.3,63.2,70.9,,alpha & delta,20 weeks,,,
136,Young-Xu,Pfizer,2,final,14-43,Infection,infection,USA,males 65+,males 65+,62,45.6,73.5,,delta,4 weeks,,,
136,Young-Xu,Pfizer,2,final,224-253,Infection,infection,USA,males 65+,males 65+,24.8,18.8,30.4,,delta,32 weeks,,,
137,Castillo-Arregoces,Pfizer,2,final,14+,hospitalization,severe,Colombia,≥ 60 years,60+ years,83,78.4,86.6,,mu,32 weeks,,,
137,Castillo-Arregoces,Pfizer,2,final,14+,post-hospitalization death,death,Colombia,≥ 60 years,60+ years,94.8,93.3,96,,mu,32 weeks,,,
137,Castillo-Arregoces,Pfizer,2,final,14+,death,death,Colombia,≥ 60 years,60+ years,88.3,84.1,91.4,,mu,32 weeks,,,
137,Castillo-Arregoces,AZD1222 (AstraZeneca),2,final,14+,hospitalization,severe,Colombia,≥ 60 years,60+ years,90.8,85.5,94.2,,mu,32 weeks,,,
137,Castillo-Arregoces,AZD1222 (AstraZeneca),2,final,14+,post-hospitalization death,death,Colombia,≥ 60 years,60+ years,97.5,95.8,98.5,,mu,32 weeks,,,
137,Castillo-Arregoces,AZD1222 (AstraZeneca),2,final,14+,death,death,Colombia,≥ 60 years,60+ years,93.9,89.3,96.6,,mu,32 weeks,,,
137,Castillo-Arregoces,Janssen,1,final,14+,hospitalization,severe,Colombia,≥ 60 years,60+ years,60.9,36.8,75.8,,mu,32 weeks,,,
137,Castillo-Arregoces,Janssen,1,final,14+,post-hospitalization death,death,Colombia,≥ 60 years,60+ years,85.8,77.1,91.2,,mu,32 weeks,,,
137,Castillo-Arregoces,Janssen,1,final,14+,death,death,Colombia,≥ 60 years,60+ years,95.5,82,98.9,,mu,32 weeks,,,
137,Castillo-Arregoces,CoronaVac (Sinovac),2,final,14+,hospitalization,severe,Colombia,≥ 60 years,≥ 60 years,47.3,41.9,52.3,,mu,32 weeks,,,
137,Castillo-Arregoces,CoronaVac (Sinovac),2,final,14+,post-hospitalization death,death,Colombia,≥ 60 years,60+ years,72.1,70.1,73.9,,mu,32 weeks,,,
137,Castillo-Arregoces,CoronaVac (Sinovac),2,final,14+,death,death,Colombia,≥ 60 years,60+ years,64.9,61.2,68.9,,mu,32 weeks,,,
138,McLean,Pfizer,2,final,14+,infection,infection,USA,≥ 12 years,general pop,50,21,69,,"non-VOC, alpha, & delta",~52 weeks,,,
138,McLean,Moderna,2,final,14+,Infection,infection,USA,≥ 12 years,general pop,65,37,81,,"non-VOC, alpha, & delta",~52 weeks,,,
138,McLean,Pfizer,2,final,14+,symptomatic disease,symptomatic,USA,≥ 12 years,general pop,54,26,71,,"non-VOC, alpha, & delta",~52 weeks,,,
138,McLean,Moderna,2,final,14+,symptomatic disease,symptomatic,USA,≥ 12 years,general pop,65,38,81,,"non-VOC, alpha, & delta",~52 weeks,,,
138,McLean,Pfizer,2,final,14+,Infection,infection,USA,≥ 12 years,general pop,51,22,70,,"non-VOC, alpha, & delta",~52 weeks,,,
138,McLean,Moderna,2,final,14+,Infection,infection,USA,≥ 12 years,general pop,66,38,82,,"non-VOC, alpha, & delta",~52 weeks,,,
138,McLean,Pfizer,2,final,14+,Infection,infection,USA,≥ 12 years,general pop,52,20,71,delta,delta,~52 weeks,,,
138,McLean,Moderna,2,final,14+,Infection,infection,USA,≥ 12 years,general pop,59,24,78,delta,delta,~52 weeks,,,
139,Abu-Raddad,Moderna,1,1,14+,Infection,infection,Qatar,≥ 18 years,general pop,60.3,57,63.3,,beta & delta,,,,
139,Abu-Raddad,Moderna,2,final,30+,Infection,infection,Qatar,≥ 18 years,general pop,85.3,83.5,86.9,,beta & delta,~35 weeks,,,
139,Abu-Raddad,Moderna,2,final,240+,Infection,infection,Qatar,≥ 18 years,general pop,-29.5,-84,8.8,,beta & delta,~35 weeks,,,
139,Abu-Raddad,Moderna,1,1,14+,symptomatic disease,symptomatic,Qatar,≥ 18 years,general pop,78.3,75.2,81.1,,beta & delta,,,,
139,Abu-Raddad,Moderna,2,final,30+,symptomatic disease,symptomatic,Qatar,≥ 18 years,general pop,94.4,92.8,95.6,,beta & delta,~35 weeks,,,
139,Abu-Raddad,Moderna,2,final,240+,symptomatic disease,symptomatic,Qatar,≥ 18 years,general pop,20,-29,59.3,,beta & delta,~35 weeks,,,
139,Abu-Raddad,Moderna,1,1,14+,asymptomatic infection,asymptomatic,Qatar,≥ 18 years,general pop,54.6,47.7,60.6,,beta & delta,,,,
139,Abu-Raddad,Moderna,2,final,30+,asymptomatic infection,asymptomatic,Qatar,≥ 18 years,general pop,79.9,75.5,83.4,,beta & delta,~35 weeks,,,
139,Abu-Raddad,Moderna,2,final,240+,asymptomatic infection,asymptomatic,Qatar,≥ 18 years,general pop,-28.4,-129.3,28.1,,beta & delta,~35 weeks,,,
139,Abu-Raddad,Moderna,1,1,14+,hospitalization or death,severe,Qatar,≥ 18 years,general pop,82.1,73.1,88.1,,beta & delta,,,,
139,Abu-Raddad,Moderna,2,final,30+,hospitalization or death,severe,Qatar,≥ 18 years,general pop,97.2,92.4,99,,beta & delta,~35 weeks,,,
139,Abu-Raddad,Moderna,2,final,180+,hospitalization or death,severe,Qatar,≥ 18 years,general pop,61,-225.5,95.3,,beta & delta,~35 weeks,,,
140,Bekker,Janssen,1,final,28+,hospitalization,severe,South Africa,HCW,HCW,67,62,71,,"beta, delta, & kappa",12 weeks,,,
140,Bekker,Janssen,1,final,28+,ICU admission,severe,South Africa,HCW,HCW,75,69,82,,"beta, delta, & kappa",12 weeks,,,
140,Bekker,Janssen,1,final,28+,death,death,South Africa,HCW,HCW,83,75,89,,"beta, delta, & kappa",12 weeks,,,
140,Bekker,Janssen,1,final,28+,hospitalization,severe,South Africa,HCW,HCW,62,42,76,beta,beta,12 weeks,,,
140,Bekker,Janssen,1,final,28+,ICU admission,severe,South Africa,HCW,HCW,49,8,77,beta,beta,12 weeks,,,
140,Bekker,Janssen,1,final,28+,death,death,South Africa,HCW,HCW,86,57,100,beta,beta,12 weeks,,,
140,Bekker,Janssen,1,final,28+,hospitalization,severe,South Africa,HCW,HCW,67,62,71,delta,delta,12 weeks,,,
140,Bekker,Janssen,1,final,28+,ICU admission,severe,South Africa,HCW,HCW,78,71,88,delta,delta,12 weeks,,,
140,Bekker,Janssen,1,final,28+,death,death,South Africa,HCW,HCW,82,74,89,delta,delta,12 weeks,,,
141,Tartof,Pfizer,2,final,7-36,Infection,infection,USA,≥ 18 years,general pop,85,83,86,,"non-VOC, alpha, & delta",~48 weeks,,,
141,Tartof,Pfizer,2,final,217+,Infection,infection,USA,≥ 18 years,general pop,49,46,51,,"non-VOC, alpha, & delta",~48 weeks,,,
141,Tartof,Pfizer,2,final,7-36,hospitalization,severe,USA,≥ 18 years,general pop,90,86,92,,"non-VOC, alpha, & delta",~48 weeks,,,
141,Tartof,Pfizer,2,final,217+,hospitalization,severe,USA,≥ 18 years,general pop,88,85,90,,"non-VOC, alpha, & delta",~48 weeks,,,
142,Lewis,Pfizer,2,final,14+,hospitalization,severe,USA,≥ 18 years,general pop,96,93,98,,alpha & delta,~30 weeks,,,
142,Lewis,Pfizer,2,final,14+,hospitalization,severe,USA,≥ 18 years,general pop,93,89,95,,alpha & delta,~30 weeks,,,
142,Lewis,Pfizer,2,final,14+,hospitalization,severe,USA,≥ 18 years,general pop,87,82,91,,alpha & delta,~30 weeks,,,
142,Lewis,Pfizer,2,final,14+,hospitalization,severe,USA,≥ 18 years,general pop,83,72,88,,alpha & delta,~30 weeks,,,
143,Ioannou,Pfizer,1,1,14+,infection (March 31 2021),infection,USA,≥ 18 years,general pop,31,26,35,,non-VOC & alpha,,,,
143,Ioannou,Pfizer,2,final,7+,infection (March 31 2021),infection,USA,≥ 18 years,general pop,65,63,68,,non-VOC & alpha,~28 weeks,,,
143,Ioannou,Pfizer,2,final,7+,infection (June 30 2021),infection,USA,≥ 18 years,general pop,69,67,70,,non-VOC & alpha,~28 weeks,,,
143,Ioannou,Pfizer,1,1,14+,death (March 31 2021),death,USA,≥ 18 years,general pop,55,42,64,,non-VOC & alpha,,,,
143,Ioannou,Pfizer,2,final,7+,death (March 31 2021),death,USA,≥ 18 years,general pop,89,84,92,,non-VOC & alpha,~28 weeks,,,
143,Ioannou,Pfizer,2,final,7+,death (June 30 2021),death,USA,≥ 18 years,general pop,86,82,89,,non-VOC & alpha,~28 weeks,,,
144,Hansen,Pfizer,2,final,15-44,Infection,infection,Denmark,≥ 12 years,general pop,55.2,23.5,73.7,omicron,omicron,21 weeks,,,
144,Hansen,Pfizer,2,final,105-164,Infection,infection,Denmark,≥ 12 years,general pop,-76.5,-95.3,-59.5,omicron,omicron,22 weeks,,,
144,Hansen,Moderna,2,final,15-44,Infection,infection,Denmark,≥ 12 years,general pop,36.7,-69.9,76.4,omicron,omicron,23 weeks,,,
144,Hansen,Moderna,2,final,105-164,Infection,infection,Denmark,≥ 12 years,general pop,-39.3,-61.6,-20,omicron,omicron,24 weeks,,,
144,Hansen,Pfizer,2,final,15-44,Infection,infection,Denmark,≥ 12 years,general pop,86.7,84.6,88.6,delta,delta,25 weeks,,,
144,Hansen,Pfizer,2,final,105-164,Infection,infection,Denmark,≥ 12 years,general pop,53.8,52.9,54.6,delta,delta,26 weeks,,,
144,Hansen,Moderna,2,final,15-44,Infection,infection,Denmark,≥ 12 years,general pop,88.2,83.1,91.8,delta,delta,27 weeks,,,
144,Hansen,Moderna,2,final,105-164,Infection,infection,Denmark,≥ 12 years,general pop,65,63.6,66.3,delta,delta,28 weeks,,,
145,Kissling,Pfizer,2,final,14-29,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",30-59 years,30-59 years,87,83,89,,delta,~30 weeks,,,
145,Kissling,Pfizer,2,final,90+,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",30-59 years,30-59 years,65,56,71,,delta,~30 weeks,,,
145,Kissling,Pfizer,2,final,30-59,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",≥ 60 years,≥ 60 years,65,37,80,,delta,~30 weeks,,,
145,Kissling,Pfizer,2,final,90+,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",≥ 60 years,≥ 60 years,64,44,77,,delta,~30 weeks,,,
145,Kissling,Moderna,2,final,14-29,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",30-59 years,30-59 years,98,93,100,,delta,~30 weeks,,,
145,Kissling,Moderna,2,final,60-89,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",30-59 years,30-59 years,90,76,96,,delta,~30 weeks,,,
145,Kissling,AZD1222 (AstraZeneca),2,final,14-29,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",30-59 years,30-59 years,72,52,83,,delta,~30 weeks,,,
145,Kissling,AZD1222 (AstraZeneca),2,final,60-89,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",30-59 years,30-59 years,65,48,76,,delta,~30 weeks,,,
145,Kissling,Janssen,1,final,30-59,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",30-59 years,30-59 years,50,36,62,,delta,~30 weeks,,,
145,Kissling,Janssen,1,final,60-89,symptomatic disease,symptomatic,"Croatia, France, Ireland, Netherlands, Portugal, Romania, Spain, and UK",30-59 years,30-59 years,52,33,66,,delta,~30 weeks,,,
146,Katikireddi,AZD1222 (AstraZeneca),2,final,14-27,severe disease,severe,Scotland,≥ 18 years,general pop,83.7,79.7,87,,delta,~20 weeks,,,
146,Katikireddi,AZD1222 (AstraZeneca),2,final,140-153,severe disease,severe,Scotland,≥ 18 years,general pop,53.6,48.4,58.3,,delta,~20 weeks,,,
147,Amir,Pfizer,2,final,14-60,Infection,infection,Israel ,12-14 years,12-14 years,92,91.1,92.8,,delta,~6.5 weeks,,,
147,Amir,Pfizer,2,final,14-60,Infection,infection,Israel ,16-18 years,16-18 years,89.8,80,93.8,,delta,~6.5 weeks,,,
148,Ostropolets,Pfizer,2,final,14+,Infection,infection,USA,≥ 18 years,general pop,94,91,95,,"non-VOC, alpha, & delta",52 weeks,,,
148,Ostropolets,Pfizer,2,final,14+,Hospitalization,severe,USA,≥ 18 years,general pop,95,92,97,,"non-VOC, alpha, & delta",52 weeks,,,
148,Ostropolets,Moderna,2,final,14+,infection,infection,USA,≥ 18 years,general pop,97,94,98,,"non-VOC, alpha, & delta",52 weeks,,,
148,Ostropolets,Moderna,2,final,14+,Hospitalization,severe,USA,≥ 18 years,general pop,96,92,99,,"non-VOC, alpha, & delta",52 weeks,,,
148,Ostropolets,Janssen,1,final,14+,Infection,infection,USA,≥ 18 years,general pop,81,50,94,,"non-VOC, alpha, & delta",52 weeks,,,
148,Ostropolets,Janssen,1,final,14+,hospitalization,severe,USA,≥ 18 years,general pop,92,58,100,,"non-VOC, alpha, & delta",52 weeks,,,
149,Alali,Pfizer,1,1,14+,symptomatic disease,symptomatic,Kuwait,HCW,HCW,91.4,65.1,97.9,,alpha,,,,
149,Alali,AZD1222 (AstraZeneca),1,1,28+,symptomatic disease,symptomatic,Kuwait,HCW,HCW,75.4,67.2,81.6,,alpha,,,,
149,Alali,AZD1222 (AstraZeneca),2,final,14+,symptomatic disease,symptomatic,Kuwait,HCW,HCW,94.5,89.4,97.2,,alpha,~20 weeks,,,
150,Mendola,Pfizer,2,final,8-98,infection,infection,Italy,HCW,HCW,89,78,95,,alpha,~12 weeks,,,
